dt,usdc,usdt,eurs,xusd
2025-08-01,18701779.507589996,3667.179308999999,1013.7107120000003,106255.62661799983
2025-08-02,23190191.73894292,7282.464895999997,1714.4487309999995,21950.768745999994
2025-08-03,6490410.593716028,1770.6130379999997,657.933067,80809.88636699997
2025-08-04,111987111.95377247,5620.379166000001,1540.5045170000005,37172.25282300004
2025-08-05,13523276.734411009,2291.5219700000002,950.8522430000002,48728.71122300002
2025-08-06,12410056.67896096,3520.8576240000016,826.8659640000006,25161.055689999983
2025-08-07,18706345.552666973,4502.306218999999,618.1933240000001,59401.46722099999
2025-08-08,20287255.796289008,1254.863068,483.78140399999995,72693.15588300001
2025-08-09,4498019.579078023,3450.9932499999995,2386.8360970000003,30448.343249000012
2025-08-10,6906501.846828995,1405.4253780000004,741.106601,16907.154814999998
2025-08-11,61232572.30692812,4912.957072000002,1637.1214780000005,31992.054087999983
2025-08-12,10486900.150423978,2159.2902559999998,503.6970580000001,65894.38700599999
2025-08-13,136849373.09480473,2835.7043960000005,330.91712800000005,69231.353014
2025-08-14,37053120.64307784,7955.526921999996,1422.7763390000002,53211.79745899998
2025-08-15,19253007.645712983,9455.514644999992,468.434957,35726.16137599997
2025-08-16,39968170.01706502,522.599555,805.1594559999999,7645.643159999997
2025-08-17,4315084.643671022,1286.623581,574.3163180000001,26612.13060500001
2025-08-18,37384401.831918485,14477.987079000011,516.2527250000003,17002.598756
2025-08-19,17345899.670379445,10349.542949999992,2181.2003449999984,40749.54675699999
2025-08-20,16797271.074470118,2473.637572000002,409.2571959999999,20557.810109
2025-08-21,63910568.03570026,473.6392539999998,463.7323519999997,48746.77312800002
2025-08-22,39984341.28864302,4206.333386999996,1236.1254719999997,15069.050996999991
2025-08-23,5269936.710989003,4892.332739000005,841.6167640000001,21572.675658999997
2025-08-24,8867529.271183018,3109.0604430000003,1063.8702240000005,52662.06682199998
2025-08-25,13855925.697072972,6012.414570000001,6178.010566000004,57299.83049800002
2025-08-26,33515388.039280947,3250.5225880000007,686.923087,102271.71935900001
2025-08-27,16494758.721178014,964.1319870000001,579.3970589999999,34636.44035000002
2025-08-28,19486264.200580046,503.39019799999994,661.8642119999998,49145.32561299997
2025-08-29,21434599.665111005,39851.785223,2058.633072,22342.734007999992
2025-08-30,15202069.864855034,12312.644222999994,2317.215110000001,18692.402233999994
2025-08-31,6501212.353873992,5478.734358,1702.4620039999995,11651.194594000008
