date,algo_vol,price,usd_vol
2025-08-01,237734139.30426785,0.2442946233566644,58077172.0203569
2025-08-02,60533755.36412673,0.2363439096719715,14306784.409884388
2025-08-03,67672007.54261181,0.2278411201847095,15418466.003656786
2025-08-04,126348946.6602674,0.2433907821429585,30752168.950581428
2025-08-05,65803900.41727206,0.2481939745531483,16332131.585662326
2025-08-06,80898357.62733513,0.2374696295136998,19210903.01403006
2025-08-07,115382598.59817524,0.2428014941324297,28015067.33651934
2025-08-08,241455589.8956852,0.2638613820957359,63710805.6646167
2025-08-09,58493557.23212392,0.2656678243342842,15539856.087431297
2025-08-10,60408379.00039373,0.2706058346761191,16346859.820832891
2025-08-11,117098577.03657834,0.2657242229827365,31115928.395428892
2025-08-12,105632320.0231098,0.2535490501388352,26782974.40582095
2025-08-13,69947992.65784842,0.2712505512614959,18973431.56807645
2025-08-14,160548858.83307654,0.2806600976118967,45059658.39156988
2025-08-15,90370450.6177835,0.2540443320150628,22958100.761095032
2025-08-16,42709956.16115028,0.2532906895880539,10818034.248333305
2025-08-17,53105750.79615296,0.2607790440003408,13848866.923541104
2025-08-18,100478345.6617173,0.2662955795962938,26756939.29486376
2025-08-19,62710305.85469446,0.2551150178863038,15998340.79977596
2025-08-20,130172724.21770965,0.2380692715034172,30990125.62412537
2025-08-21,81333133.72598515,0.256734562777644,20881026.52647645
2025-08-22,75933935.4997779,0.2480702537293952,18836950.646101434
2025-08-23,43835836.628363945,0.2665170760377272,11682999.00385906
2025-08-24,85920866.75989804,0.2638525707033134,22670441.57165597
2025-08-25,140687783.81136134,0.2717527134769269,38232287.00379272
2025-08-26,90193560.80463138,0.246141212527989,22200352.418668874
2025-08-27,72225990.56579526,0.2549119799925363,18411270.262049116
2025-08-28,81630363.3080236,0.2474247337208837,20197370.905026734
2025-08-29,110072421.160443,0.2526514654585948,27809958.512761563
2025-08-30,58699302.81847215,0.236824469628077,13901431.257522551
2025-08-31,62530255.10156541,0.2330993337585824,14575760.803929096
