date,xalgo,ora,talgo,vote,alpha,gobtc,sparky,tiny,opul,finite,pow,goeth,niko,coop,compx,monko,avoi,vest,gonna,golddao,algo_vol,price,usd_vol
2025-08-01,10483309.17148891,21421.49887755879,5125738.377466424,224208.01695500963,449227.9831779019,1101249.4943078994,2125.3805384856305,187354.53000640305,138563.67728205406,18875.138471182072,247512.737746755,120572.91325706015,14552.87484467886,78809.74216420704,68317.40748134236,226022.4605841072,24655.810849572874,29782.11723677206,19885.29560525787,21004.080805455003,18603188.709147032,0.2442946233566644,4544658.978934026
2025-08-02,7663639.623567352,86486.68993076045,2219577.3877884196,144434.60333737265,879832.4999576692,3306640.5475400006,3027.1550884239737,158322.9633939859,102951.10049527747,8586.872572391705,165870.92255669108,182097.37255374013,7736.8256079496,32820.631746453015,45210.21715203892,215730.27743649663,9218.888112329965,51888.89551515874,5603.0989757327425,11546.7524004924,15301223.32572874,0.2363439096719715,3616350.9435666967
2025-08-03,4781518.718811208,26775.145190229297,1459302.9881633336,91235.2515692192,1855842.7741114579,929639.3296672998,1451.9375094769334,244620.86652478078,128797.43878786685,10370.5477599398,44368.415856528685,63147.48563738997,1823.1026440227342,33465.692994105,164499.81683028289,219913.15702302344,1434.5094787770104,40946.52714386533,19164.99479100294,11937.3440662972,10130256.044560106,0.2278411201847095,2308088.884950499
2025-08-04,1640645.8961902566,16643.63292481903,1870714.7209769697,99446.31444527778,938604.367490099,2027577.6746951,527.2521364098873,2033741.784252999,106082.83939237073,26531.299374042996,197079.71775055453,71844.33740959999,2592.844260891869,40416.48681792421,47363.40412161022,73434.44266396495,24524.191994442,33640.814759777015,2807.106648846307,12642.136317936996,9266861.264623893,0.2433907821429585,2255468.611207095
2025-08-05,7356413.960509904,51541.475498302316,1951129.651579997,110368.24571910992,1439185.0799277914,1372915.5828247985,166.8595631942067,218933.61942072678,43088.7884171276,19601.35598076144,38214.482641340226,40947.052323100004,1923.749909624109,48614.95182166535,67680.42244991439,255893.1271631268,11529.107875847038,36970.66128013145,16919.50473691906,13849.228405476608,13095886.908048855,0.2481939745531483,3250320.222007185
2025-08-06,2382848.6570318975,28419.618006976343,1539659.8588494253,79359.23763023462,1951232.8768184928,245076.47973239998,1243.261501645009,48342.00020558094,83173.54952307713,24670.061667260215,39687.20934552839,251330.67254966,7846.686775177177,18338.324628686714,59972.416843181665,203706.04478291568,7776.577336309272,4130.048215841985,26756.700361921143,8287.796531762997,7011858.078337974,0.2374696295136998,1665103.3400655617
2025-08-07,3060875.04642572,23035.089012115877,2006653.276561078,127808.01999262077,636446.9680337488,274221.33155620017,5554.022856310748,147430.99387294217,255091.99222984086,13719.059121938019,101071.68042869771,46870.000931610004,11467.441653680811,19069.763239000502,38109.83416224351,126149.45011005808,14680.3437595802,20775.02563132207,56182.092005924314,13886.939485776198,6999098.371070411,0.2428014941324297,1699391.542075751
2025-08-08,6033902.899997428,31135.330896390413,1924553.2050238734,70228.61676014571,509446.3699072948,728353.073279999,955.0216403825527,236852.93641624233,59362.754661982595,19797.095633935216,154018.575196269,210517.75420902006,2600.170645948757,22714.99253401664,34576.58005574041,114940.55202492062,8971.267907268157,20901.80841886313,99246.0766664119,8426.222052387198,10291501.30392852,0.2638613820957359,2715529.757894648
2025-08-09,3600881.476211378,14158.794112675358,811368.5371554648,49972.5340614137,466310.61940300773,193565.60248600008,636.7923218658151,199841.96207561842,91314.76675120307,10071.645914645615,94199.84342310402,150186.20820071996,5491.993960645957,55527.69681281611,20158.021224171735,62132.834508490356,8056.410879166186,3381.216934341855,46274.99231467739,13848.7031059644,5897380.65185737,0.2656678243342842,1566744.2870500502
2025-08-10,6849073.096633339,433820.8479215134,1786939.2594444961,110664.4945350788,561273.3384954542,1019086.7694713969,1430.486377158254,143212.6931073162,919498.4232766595,8554.961299456125,12701.742728800926,109256.97053501998,1962.7139880822167,80064.13182017485,17537.64465987046,98256.27479300967,28584.53261383003,115880.25707774721,25531.54533742495,9839.599655175203,12333169.783771008,0.2706058346761191,3337427.703539645
2025-08-11,5802509.613553063,13427.23188515077,2940442.1249600803,162325.48432348014,615283.6101081024,767696.4254007993,689.2776499738167,124163.483917833,204262.9746293853,15119.786434491778,99402.79381356979,127843.72961975998,2321.1487082910603,444516.87093409384,17777.611314528884,41899.38382612566,10044.231019931583,26033.187756687636,11167.103536604534,48951.25508928723,11475877.328481236,0.2657242229827365,3049418.586155879
2025-08-12,3633866.6284158705,27993.549799685625,1503098.1788802757,102623.05704564134,116474.25406913031,383153.0183372,2314.850917204414,60955.03961368555,374705.81036086177,8832.709092802903,34729.27139313108,265863.79075344006,1943.5263253482583,26909.531535639304,14060.039960917191,63430.066889874564,15372.868421636049,109593.00086082202,8697.410046328505,14002.940759243202,6768619.543478739,0.2535490501388352,1716177.0560001908
2025-08-13,3103541.193774648,17205.906301146002,827074.770923038,85765.2626488661,154809.6606135485,342526.29213119985,5134.539659781329,196649.95412114242,555267.2583225898,9792.361947596393,206638.0460524311,123476.49277145995,1417.8366595558034,18650.5071598797,129694.74060443765,97474.80717013424,13347.658213921604,62753.95774776057,20952.420037316682,21238.369830367195,5993412.036690821,0.2712505512614959,1625716.31888967
