date,ora,niko,talgo,vote,tiny,gobtc,silver,rio,stbl,alpha,monko,opul,gold,chip,malgo,coop,avoi,goeth,daffir,calgo,algo_vol,price,usd_vol
2025-03-01,21327.945397143958,10065.534860864138,1747889.1991655356,52389.89949549745,229189.793306444,249380.44182090013,51423.78402133279,747584.1026180867,32442.911290189397,151688.12713250075,383899.467769661,253829.4450229986,185242.35707805987,30878.59219992,175664.64103578945,36482.6525641999,11224.905809332298,70720.715877084,10220.278603520002,66100.80406372559,4517645.599132786,0.2380452289435811,1075403.9809315256
2025-03-02,26697.146502776064,1250.945372827337,3531465.661492744,173471.09669631542,919063.2121039234,1472944.4076137992,180484.93228604848,197287.98070033523,101687.41247856908,85712.66611034081,255328.55573048987,225809.1477453236,194429.06127675003,36481.45165171999,427074.70448288723,142652.81439728194,48187.70942696466,329261.07672423474,24102.128780141662,490941.32540223876,8864333.43697571,0.252967373728777,2242387.149407929
2025-03-03,25661.9355941035,628.2514518178663,2244796.4558490766,128841.71529130706,358220.62079819856,575752.5244008002,128286.967594887,3710637.2631965782,110681.30196450466,51682.628145144576,118935.22314120384,262588.0000646009,134703.42078633,95015.7445818,208943.00898384323,33310.994851917916,41177.94028396735,93232.16348418492,14685.158391200015,52192.35137969999,8389973.670235166,0.2905563149587919,2437759.8322248203
2025-03-04,23865.762941977682,91723.70718676459,1862522.9189512925,139697.72758555858,311444.4206589002,626985.4361520002,99681.1404577866,2917536.3149512154,115684.92780487202,32850.35387056863,222527.64107862438,254235.6817009054,159584.37893579996,42340.28719536,250152.37558890454,46893.24787741889,54845.58340035871,117145.22321212299,15929.911909327444,54281.05718637799,7439928.098646137,0.2388551771084575,1777065.3436763124
2025-03-05,11347.966978946088,5623.350586936557,826527.7631076177,67821.26163966427,287539.15801303845,607725.6202989997,82997.11078690487,734452.3524579719,41889.0037620195,344029.48753303377,80680.12168972926,152773.2374383088,84094.37079461999,42217.89870088001,334021.27187005925,24222.494872215582,31935.338476257373,26778.427842969006,14863.638183679472,72236.77426295941,3873776.649296812,0.2392262523167398,926709.070123374
2025-03-06,14821.593748583084,8332.702261171768,893318.912597071,48207.98879315277,371095.41844368755,311923.8360984,292779.4703214321,2793753.9291422046,43236.461072095226,17519.355328582526,248321.94692358605,175669.99446735648,147945.01453845,20011.911072000003,52821.7373748268,31726.117244147947,8235.795811880791,33995.31219496799,5005.539089598276,17971.387308295903,5536694.423831489,0.2501383429011206,1384939.5683270833
2025-03-07,13875.74321977923,14161.548196451484,1428628.6519375183,95932.99466248385,172145.96445466008,505584.55211220006,81922.15539684723,3357268.635125721,85039.148547353,377879.0330645196,133313.8718440876,189814.88947284414,65295.25217424,51766.92723165001,112641.86441001088,38706.5101864171,22890.312706709192,85786.51241095192,12880.411279591019,20806.111379425398,6866341.08981346,0.2414671891878879,1657996.082962555
2025-03-08,6667.612815650723,28439.57691448763,833009.0494833442,47968.64540410078,99555.10906815945,1681613.0681822998,24347.102150976007,1982727.0070761577,30201.951085976005,66049.09747097488,65368.36290797958,109940.57175375025,21134.757717480003,30960.299961759996,53947.269031796684,16442.117882104587,11374.28383153308,84223.32139666098,5481.691195091403,28809.889973307592,5228260.785303592,0.2333489576236486,1220009.2044351916
2025-03-09,17408.58068575092,59104.43170614831,1911647.0613427488,120511.03486028459,472305.4301562682,905765.7819299997,219831.04110454218,1220310.547587449,85051.069796676,80340.30464942414,250290.39131605343,382278.0528184022,341829.50087351986,44872.700681949995,210525.17242832854,99863.20359302615,32705.372890792234,44784.44606266,13512.193714059165,67941.50871051209,6580877.826908594,0.2244415152259664,1477022.19098833
2025-03-10,15389.252511085595,13986.024654565617,3715837.6503072707,201406.53280980702,433125.529443036,2184968.0758455982,260767.6734583285,296278.19538443995,132525.48686994103,428662.955227096,307659.5200102012,263377.7905423064,380630.4117881999,100950.79529208,186286.22603988287,94860.49681258493,44759.802918215726,330614.58558783965,20974.93700244689,182255.10493014407,9595317.047435071,0.2012870056918733,1931412.637142392
2025-03-11,25613.218377567635,2357.6395363123543,2433548.4498082083,169520.1722010402,305454.41367432795,1437090.8265403993,239024.4286580768,5173791.974390911,114114.7233888718,67347.78616122855,135383.72301919726,524621.9631637413,226100.36704363994,749702.3229704398,168155.62865217438,83758.53544438268,22334.690310664362,185387.84719487984,17247.87876984477,29454.691116207705,12110011.280422118,0.1844927160813876,2234208.8729013186
2025-03-12,12525.14113902803,3660.8937299139798,1950844.15690006,112261.41178488739,165267.372193633,331289.5558372001,113219.80962261518,976558.3027513924,125918.59623240115,63733.41567066925,124724.40605466299,352209.89649695123,56734.92457253998,93740.08033859996,100884.84577532303,21234.735203322478,28826.247781769496,48885.37047839901,10500.942085126626,17935.6730430291,4710955.7776915245,0.1910642602042076,900095.2805193686
