dt,usdc,usdt,eurs,xusd
2025-03-01,4233730.5369770015,2960.1404970000003,5328.6697239999985,20498.405718000013
2025-03-02,13835466.97124099,13934.772168,16577.087581,69182.33040299994
2025-03-03,17562831.363277014,22263.245343000002,18451.049542,39068.96276699999
2025-03-04,24867995.611039013,10912.637494000002,5744.357894000001,24957.952467999992
2025-03-05,13000076.845282009,7199.664558000011,5776.614911,29529.742100000003
2025-03-06,23284002.61274296,10248.453344999998,11435.435680999997,19292.89330100001
2025-03-07,22062582.958782025,5671.347708000001,4041.4068629999992,13421.944409999995
2025-03-08,4610040.593255,1205.1458129999999,1045.829646,18424.287822999995
2025-03-09,13036897.044283025,7335.279968000003,12549.231423000001,31717.358318000006
2025-03-10,16008538.099775033,14764.646203999999,10880.912843000002,71519.762667
2025-03-11,121900008.36488202,19083.613688000005,8292.891708,30877.907612999992
2025-03-12,28587184.65803004,112635.02667299991,42061.067458,15161.418230000007
2025-03-13,16725398.085466973,25566.170235999994,28854.91933499999,15123.381111000002
2025-03-14,16784047.888540026,4880.799188,1117.507013,15587.124280999997
2025-03-15,5763399.755305009,3615.616792,985.7171860000001,13546.415928
2025-03-16,5221469.529547003,12734.78139899999,1986.842886,11175.051125000002
2025-03-17,17897617.69995099,4970.487936,5080.933173999998,10113.992223999994
2025-03-18,19274668.437810004,6141.319387,2112.7789169999996,19740.03727199999
2025-03-19,14043403.769538008,7568.494251999999,1536.7779989999997,13367.628367
2025-03-20,14436096.041860998,29550.276718000023,6077.929780000001,15515.249406000004
2025-03-21,42515758.19933095,9965.206818999999,616.3617059999999,10521.314625
2025-03-22,3017578.894078001,511.21784299999996,3781.2590379999992,35002.197641
2025-03-23,5121134.376004004,633.045365,1008.4169400000001,7866.680808000002
2025-03-24,19238027.927931953,1177829.0416890003,3073.901004,69188.82579500011
2025-03-25,11062277.787053006,5737.684774000002,1177.1329749999998,32048.147988000008
2025-03-26,12558355.569607005,2300.217928,4119.161357,14000.296499999993
2025-03-27,19450876.692652043,2825.4693079999997,800.8177730000001,8579.422822
2025-03-28,13028749.747026032,1678.3052149999996,3415.250623000001,12960.776732999999
2025-03-29,7659584.608049974,2049.7463070000013,5993.938491000001,14498.853024999993
2025-03-30,4699037.409262997,4314.880966999998,1153.381543,22884.548845000012
2025-03-31,22585333.81609002,4854.743958,5339.153846,27202.677052999996
