Price,Close,High,Low,Open,Volume
Ticker,AFNUSD=X,AFNUSD=X,AFNUSD=X,AFNUSD=X,AFNUSD=X
Date,,,,,
2025-02-03,0.013202792033553123,0.013698630034923553,0.013231420889496803,0.013231420889496803,0
2025-02-04,0.013535713776946068,0.013888888992369175,0.013502943329513073,0.013502943329513073,0
2025-02-05,0.013440859504044056,0.013460761867463589,0.013327487744390965,0.013459415175020695,0
2025-02-06,0.013460761867463589,0.013698630034923553,0.013598235324025154,0.013598235324025154,0
2025-02-07,0.013698630034923553,0.013718985952436924,0.013664362020790577,0.013718985952436924,0
2025-02-10,0.013611879199743271,0.013698630034923553,0.013569142669439316,0.013569142669439316,0
2025-02-11,0.013698630034923553,0.013762530870735645,0.013648648746311665,0.013648648746311665,0
2025-02-12,0.013888888992369175,0.014285714365541935,0.013776028528809547,0.013810383155941963,0
2025-02-13,0.013888888992369175,0.013810690492391586,0.01380789652466774,0.013810690492391586,0
2025-02-14,0.014285714365541935,0.013904347084462643,0.013811510056257248,0.013904347084462643,0
2025-02-17,0.013857576996088028,0.013866881839931011,0.013816834427416325,0.013866881839931011,0
2025-02-18,0.013816834427416325,0.014285714365541935,0.01374165341258049,0.013797324150800705,0
2025-02-19,0.014285714365541935,0.013888888992369175,0.013731270097196102,0.013731270097196102,0
2025-02-20,0.013888888992369175,0.014084506779909134,0.013742845505475998,0.013742845505475998,0
2025-02-21,0.014084506779909134,0.014285714365541935,0.013691221363842487,0.01380575355142355,0
2025-02-24,0.013692921958863735,0.014285714365541935,0.01370223704725504,0.013761808164417744,0
2025-02-25,0.014285714365541935,0.01377437449991703,0.01369425468146801,0.01369425468146801,0
2025-02-26,0.014084506779909134,0.013800328597426414,0.013797991909086704,0.013797991909086704,0
2025-02-27,0.014285714365541935,0.0137959448620677,0.013787303119897842,0.013787303119897842,0
