dt,usdc,usdt,eurs,xusd
2025-04-01,18642945.018534973,7858.747570000004,11129.144053999997,45392.97143799997
2025-04-02,25640832.016007025,18228.277684999997,2873.485525000001,16302.467489999994
2025-04-03,8269606.622479206,17696.85582,5136.038017,29168.841577
2025-04-04,8236890.755180998,4789.679373000001,11456.721092000002,18227.304397000004
2025-04-05,7646505.6604939755,749.693188,2870.87326,10347.548809999998
2025-04-06,9324807.095008006,7472.005047,7890.501217999998,42735.33572199999
2025-04-07,39602921.36875,12731.894525,13546.362222,69898.41804100004
2025-04-08,22668993.19710104,6293.454588000001,5169.323844999998,7585.448943000002
2025-04-09,23305047.758236967,8059.819579,5947.645014000001,66603.49054199998
2025-04-10,10980900.256391982,4162.826002999998,5116.362677,33530.739722000006
2025-04-11,29101709.447918974,1205.164909,2110.4740020000004,28625.854787000004
2025-04-12,5013686.78613,2182.206935999999,3009.104725999999,16703.065502000012
2025-04-13,3312118.161197002,1699.8239629999998,1708.011865,53110.599821000054
2025-04-14,17132449.224835996,5818.021129999996,2285.5512369999988,15309.105022999998
2025-04-15,8369815.892843999,2392.1273859999997,1017.8391670000001,10712.130140999996
2025-04-16,10511381.83742101,6075.725389000001,1077.6915199999999,25179.181672000002
2025-04-17,11002908.203715011,1377.6440129999996,1179.519149,5899.9959499999995
2025-04-18,3608097.8293850003,1647.7548359999998,385.232079,15214.608371
2025-04-19,7511308.315771998,357.36028000000005,477.60391300000003,6270.9235819999985
2025-04-20,12609111.596714005,3123.636999,1454.5572799999989,5647.387077000003
2025-04-21,23139341.54683207,2968.7755079999997,1646.762162,56504.78820099999
2025-04-22,32929629.95086409,3777.327965,1653.7850200000003,18238.703540999988
2025-04-23,13570794.180864008,6496.435149999996,3034.937658,13448.536920999999
2025-04-24,29604376.58975304,3051.0791669999994,2334.9454210000004,24842.782706000013
2025-04-25,10512762.931500971,3052.2004540000003,3378.3605729999995,33379.859770999974
2025-04-26,9360611.322062038,2144.005632,1893.5000910000015,27141.09237799999
2025-04-27,8920750.025156079,957.0998040000002,2921.930335,6788.814811999993
2025-04-28,18127817.589978967,2208.398236,1012.5845759999999,8560.413967
2025-04-29,15439370.879375994,1751.5227200000002,1924.5066329999997,8099.764890000003
2025-04-30,29522660.483332008,3166.2914649999993,2074.464980999999,26748.26828200003
