date,usdc,usdt,eurs,xusd,algo_vol,price,usd_vol
2025-05-01,103308430.3274418,10744.021142214799,10860.343731097199,1040966.8195805209,104371001.51189563,0.2201028504440604,22972354.936469562
2025-05-02,220838888.42968333,8676.435204672898,6567.463102421,184376.3986392601,221038508.7266297,0.2172530415137131,48021288.31251572
2025-05-03,29497127.368132822,10155.5864572656,16725.2631147784,199541.39146893908,29723549.60917381,0.2153306010907244,6400389.803893363
2025-05-04,27522610.420104895,10557.986024279899,3953.6700213972003,143250.01592292305,27680372.092073493,0.2076446768674588,5747681.918629625
2025-05-05,36534385.358506605,15648.930350491502,13051.759170005003,228896.61991415053,36791982.66794125,0.1996724295033102,7346344.56555151
2025-05-06,76826245.68820234,15112.416852679196,8386.803865665901,201177.1146323597,77050922.02355304,0.1994460360676171,15367500.972952712
2025-05-07,90912416.73940453,3752.8976643284004,5233.245042384,16481.605171079707,90937884.48728232,0.1994740152685402,18139744.9587049
2025-05-08,76673846.6398428,18639.810123380597,58150.73853825501,326338.48662951076,77076975.67513394,0.1994346258957083,15371817.808942946
2025-05-09,466015572.30295944,13920.605087856007,11653.260622243202,215735.07554922398,466256881.2442188,0.2243432837140863,104601599.79261683
2025-05-10,20348160.32469883,53328.40516796683,15464.369783083,236697.91117998105,20653651.010829862,0.2323007262339902,4797858.129199163
2025-05-11,52012456.94072025,19052.819228346805,20210.541639472205,82601.68916805298,52134321.99075612,0.2523693770522172,13157106.36384683
2025-05-12,59966888.72432529,24423.98099041601,19983.216995001992,254981.6619211332,60266277.584231846,0.2395809597321422,14438652.623113953
2025-05-13,55939049.13787201,26189.030999157505,6490.7524417923005,85427.08421594855,56057156.005528904,0.2423555794137991,13585764.524009686
2025-05-14,56719610.52618636,9295.188547189502,7489.230914432,55210.577469657415,56791605.52311763,0.247968276158999,14082516.521869365
2025-05-15,47063298.89323098,28617.433659985796,17015.8261501683,323618.0895082734,47432550.24254941,0.2370906601413451,11245814.649193559
2025-05-16,31698083.546329092,4850.329345475199,6392.2282727744,83524.98324330237,31792851.087190643,0.2250973571274054,7156486.755271771
2025-05-17,17632551.000633314,36018.82190426021,21679.615783895297,68698.6276848201,17758948.06600629,0.2237159277932582,3972959.5432188855
2025-05-18,20227514.6835259,39351.179955012885,12964.471627059402,62772.72292997697,20342603.05803795,0.2152785722562661,4379326.542310363
2025-05-19,59730547.4538111,21594.910371941583,27219.555312480792,44430.97216128338,59823792.891656816,0.2248005569886264,13448421.963216681
2025-05-20,52524371.05958678,12810.763831767998,3369.5242612069987,123510.99513505166,52664062.3428148,0.2222213199248362,11703077.446424168
2025-05-21,52491684.739630066,8130.9973979416,7701.0713666276,63559.20470550458,52571076.01310015,0.2246622700371147,11810737.275396788
2025-05-22,78687816.98043431,45657.77032332398,9091.2779503155,234513.7642467363,78977079.79295468,0.2313366284089696,18270291.3608883
2025-05-23,72603436.26068254,28859.836928292,8109.972819933901,52677.24807365406,72693083.31850442,0.2409409882002313,17514743.330082204
2025-05-24,559285182.0786651,9043.999493477002,24259.70762323561,186751.60026596635,559505237.3860478,0.2252751471003281,126042624.65554592
2025-05-25,38309975.91407312,11013.703458648,120201.912449413,101397.44705955147,38542588.97704072,0.2205446056283286,8500360.085836211
2025-05-26,1407126240.908544,19861.8824624051,7794.849379871999,83972.86454415602,1407237870.5049305,0.2209254906606628,310894717.01756805
2025-05-27,506155058.24633974,8169.5978896139995,3354.9124043232,48206.615146284996,506214789.3717799,0.2181753942528691,110443611.24782118
2025-05-28,113625830.46173109,10330.391599423601,7681.774801553002,90580.1735693634,113734422.80170143,0.2219401704431431,25242237.181862116
2025-05-29,96358554.85231774,6596.599965061798,5979.886835342999,140345.81996483082,96511477.15908296,0.2173693808427945,20978640.03429337
2025-05-30,68030869.33154869,28127.28874182599,15056.499145511993,139122.14936818002,68213175.2688042,0.2109580675617282,14390119.636956405
2025-05-31,58584025.72889659,10453.129558299199,11578.172926473302,390656.33264158276,58996713.36402294,0.1926650902871019,11366607.106921751
