dt,usdc,usdt,eurs,xusd
2025-06-01,5611803.395014004,3026.0490470000004,1577.445396,43803.284662999955
2025-06-02,17245567.67222801,672.942962,2243.47503,16441.994007
2025-06-03,6345934.851101998,879.519304,1130.2596839999997,18644.901119000013
2025-06-04,14214074.682369001,696.9044029999999,2061.6188439999996,16702.806371000002
2025-06-05,27841757.851345986,2311.9866389999997,2396.1327409999994,34739.59416600002
2025-06-06,7045086.496922,3662.177516,4546.481711999999,46597.645893999994
2025-06-07,2038521.592899999,3295.0718450000004,185.313359,5200.350982000001
2025-06-08,9421175.306663003,784.7537209999998,5155.951484000001,5246.419432000001
2025-06-09,17055278.58753202,1710.0277999999996,1418.434907,15220.855833999985
2025-06-10,10505746.879335996,4719.666024999999,6567.873328999993,7585.447956
2025-06-11,20722381.644049987,3527.3825239999987,4850.586555999997,15593.601474999996
2025-06-12,19128457.072440997,3587.159114,8951.122691,39252.86963699999
2025-06-13,48592517.13221208,17655.881281999995,6653.523862999999,42799.056157999985
2025-06-14,3121252.674452997,2473.1538150000006,2590.239313000001,29229.249278
2025-06-15,3963515.7995769964,4700.778847,6864.982966999998,123769.90652899999
2025-06-16,10705979.823273981,4129.383923,3736.9517539999997,49504.681234
2025-06-17,164733640.70357993,12811.393342000001,4437.3107249999985,61424.88516999999
2025-06-18,17975881.735365022,5141.253829,1414.3369729999995,525580.9492790005
2025-06-19,4507802.2397240065,2205.4100730000005,351.9554059999999,113834.98502200004
2025-06-20,19762310.791483015,3857.716407,942.0641190000001,238155.8106989999
2025-06-21,4657748.679873998,9887.900153999984,1215.9338989999999,122606.52787799998
2025-06-22,7320559.385914014,8930.164716000003,2069.4932479999998,415016.9541439997
2025-06-23,15907249.596186018,17467.031039999994,3726.3897190000007,130284.96448300015
2025-06-24,26205641.17999995,2304.3341020000007,637.835157,64951.07296900004
2025-06-25,10979886.668476008,1689.0211870000003,2881.3345010000003,24119.775794
2025-06-26,9197950.823080007,2564.674188999998,20595.509989000002,44142.435583
2025-06-27,12408178.122577008,919.7868490000002,2001.433052,6161.996448
2025-06-28,4159011.7699090014,1146.4102879999996,435.409986,264174.59245100024
2025-06-29,3876350.9899810003,7333.457715000004,626.502324,59338.074395999996
2025-06-30,16507202.735704044,1311.784682,1023.844047,68738.369159
