dt,gobtc,ora,vote,hog,folks,alpha,silver,talgo,wbtc,hay,tiny,goeth,coop,xalgo,nugget,pow,gonna,compx,gold,nova
2026-01-01,0.7501664999999998,21434.816652289937,1006434.935648,7932.507948000002,52344.92763199999,1243861.191366,8495.511987000004,1540745.4247400004,0.07052393000000003,938514.7144309998,4080232.9195789997,3.3165112699999995,3007665.834669999,10584295.233366001,27776552.0,1075571.4415779999,109977444372.88585,5355399.880955002,54.822182,56037867642.841995
2026-01-02,0.5071660700000001,28640.693833330155,774352.6146770001,5739.932797999999,26843.760627000018,4183803.597859002,6504.746746999999,651486.861486,0.05404428999999998,161322.073411,7040978.501532999,1.23964427,1457772.467717,4210316.720921999,109859450.0,710812.9117320001,12017911507.73146,7234650.140609999,28.405784,36755737725.26946
2026-01-03,0.5617319499999996,17351.48053611005,559350.2217819998,7116.595327000002,15817.943135,1974102.0759929996,1797.520218,831030.0092950002,0.032665980000000004,204998.151671,1532380.701713,1.789079900000001,93448.04038200002,3878006.369123,3973652768.0,2931562.502725001,23454793264.772427,2286599.150731,10.981459000000005,29433746138.694126
2026-01-04,0.7316814400000008,51386.57361011008,1044013.2078779996,8783.445301999991,34122.72954200002,1271432.3175899999,18930.183546999993,789288.1656590003,0.061161179999999996,2226251.2468839977,9745871.093321,2.0230147600000006,693412.3362779998,2658000.4364889995,9572057.0,1559791.4153280002,13062867438.219313,683725.1751979998,157.33447599999997,51123053365.62809
2026-01-05,0.76656791,19721.01098713996,1021348.9909279991,4578.043433000003,27074.575350000006,783214.8841549997,21992.997827999996,611092.8043820002,0.07724343,616422.0191730001,40918938.950039975,4.569172580000001,104314.339148,3657022.556055999,22270123.0,3774537.099203,10672114315.694567,1792635.5658270004,134.831222,22407771409.24009
2026-01-06,0.6616143200000002,31932.765713610035,1406787.905354,5076.445785000003,28402.244611,11529327.017282998,25129.695880999992,1641919.14867,0.04591664000000001,1075870.7053039998,3471193.1095660003,5.979987529999996,308264.118665,11309074.081012,15540207.0,1538780.6140450004,8023949878.674881,2469867.028455001,461.21733,76744022840.32251
2026-01-07,0.24721533999999992,16321.799617220047,873013.7612680006,2936.5714749999997,28554.707251999993,6266567.9246,2361.354104999999,2139794.4613329982,0.021643609999999997,241233.302906,3089576.6518300003,2.1041818799999996,732349.7020969999,6657179.498340999,14974697.0,1166396.196892,8472663779.212275,437684.658947,39.38304999999999,69658362447.53735
2026-01-08,0.23283666000000006,12868.47780627977,637027.6136500001,5646.1392639999995,34027.105338999994,2278758.132338,5626.384634999998,1930909.4324570007,0.018473629999999998,84768.77869,5847503.441546999,0.48439171000000014,175780.0928569999,2945193.872624999,25132694.0,2009158.9046649996,8613060703.791622,1848365.1113480006,17.182226000000007,121716082578.7835
2026-01-09,0.38201889000000006,29410.184143390125,1091526.4294880007,2857.8098750000017,23109.491566999994,661650.9867300008,2219.327808,483437.294888,0.020506520000000004,486137.24655400007,2794237.845264998,0.48924933000000015,50448.92635100001,815380.9550390001,16331752.0,947748.6011930001,13704638017.427078,1959758.1699419993,8.294647000000001,28368621031.56974
2026-01-10,0.41801258999999985,40853.182079600214,976240.010363999,2602.098822999999,22983.349976000005,1335912.2689019993,1956.7223610000015,1238168.2363190013,0.021391660000000003,275089.272742,2151774.597765,0.33634834,143811.74597399996,2003463.510836,36393980.0,1469276.7496920004,14899385772.560072,216609.08765500007,12.687354,19513459056.93356
