dt,usdc,usdt,eurs,xusd
2026-01-01,3835922.984182993,1123.181413,514.973846,15740.762005999999
2026-01-02,4753533.570649006,1862.001502,724.75101,16456.624604999997
2026-01-03,5280211.692259137,4539.215895000001,213.69301499999995,34823.966638000005
2026-01-04,6271841.82858802,1402.8363429999997,1683.7033089999998,52508.441266000045
2026-01-05,4824901.530665989,4844.379496999997,864.3202550000001,19503.62330100001
2026-01-06,6596249.925800873,13096.093256,720.2092269999998,28097.93564299997
2026-01-07,17194408.845112972,956.4921120000001,297.43630799999994,19520.118326
2026-01-08,12087317.926368875,1739.528385,223.107826,34983.01168899999
2026-01-09,6950005.034498698,2629.2786519999972,742.1300860000002,17480.184534000004
2026-01-10,8336857.001685949,454.39802599999996,119.40605099999999,3311.028202999999
2026-01-11,9345149.252741564,886.0243,123.16695700000002,4653.625407999998
2026-01-12,7716972.061358944,1023.9382260000001,310.62895000000003,19435.602210000012
2026-01-13,21324063.86687489,1045.79321,340.72023999999993,6450.968255000001
2026-01-14,22491091.65964146,1408.065417,232.87674399999997,7536.248096000002
2026-01-15,4596133.399593913,761.103546,341.23301200000003,15315.768313999997
2026-01-16,89944732.81648684,700.6054720000001,360.7626380000001,49441.749254
2026-01-17,4462887.0493898885,401.1052220000001,178.09128400000006,7836.386140999997
2026-01-18,5094051.034933099,904.5953079999999,1953.294485000001,10595.651246999994
2026-01-19,6265758.715650095,2199.030856,2053.8945840000006,33791.122607
2026-01-20,5958874.456196835,652.756357,548.7549750000002,6913.282822
2026-01-21,10753427.134616112,2040.8811300000002,793.7463339999996,10274.638350999998
2026-01-22,29245119.521864716,327.312357,253.81496899999996,5435.579172999997
2026-01-23,10140950.148105996,958.8546440000002,410.7428720000001,43461.67147299998
2026-01-24,12189722.621744622,290.309252,194.02861700000003,7147.534962999997
2026-01-25,22338701.693328284,750.0141139999998,312.4588349999999,9124.120723999997
2026-01-26,18473161.41621507,1211.0336889999996,629.1228140000003,26782.098781
2026-01-27,16986976.07233778,741.252416,1068.6980180000003,15691.553741999996
2026-01-28,11693240.776447333,611.3898729999999,191.68253099999998,18322.294089000003
2026-01-29,17896671.477275155,1965.5970939999997,1533.5560630000004,17207.878458999996
2026-01-30,14828922.512040067,4436.638681,4053.310684,1829216.1816059991
2026-01-31,18281556.468869064,9574.059592000001,6312.854276,1842337.015583995
