dt,algo_vol
2026-01-01,94454619.43025471
2026-01-02,67470738.9079244
2026-01-03,51745895.820715636
2026-01-04,55310571.584800124
2026-01-05,127192506.0532897
2026-01-06,92288322.53242782
2026-01-07,79495704.51763338
2026-01-08,92494846.15064181
2026-01-09,37431693.70169297
2026-01-10,25495874.717946805
2026-01-11,34130909.5530674
2026-01-12,89768553.5721467
2026-01-13,79818714.75011204
2026-01-14,59233844.358021475
2026-01-15,60353356.955136046
2026-01-16,72856284.02334693
2026-01-17,59667355.17582148
2026-01-18,43128712.04349892
2026-01-19,74064208.17964865
2026-01-20,87667870.64917788
2026-01-21,81314602.03402415
2026-01-22,70661159.41980335
2026-01-23,74469885.69633414
2026-01-24,35564467.59852762
2026-01-25,66528875.979601026
2026-01-26,81798029.8687732
2026-01-27,46000458.004487224
2026-01-28,96599494.88541345
2026-01-29,108149987.39929637
2026-01-30,124790394.7359179
2026-01-31,241419679.8172602
