date,usdc,usdt,eurs,xusd,algo_vol,price,usd_vol
2025-11-01,32205876.535816744,3887.6834850957976,1248.4032136881,40163.557235986606,32251176.17975151,0.1770893711067068,5711340.507123798
2025-11-02,47609379.15924044,3218.6767343403,1095.4555515453003,77987.88317074027,47691681.174697064,0.178901537435473,8532115.08503571
2025-11-03,86841870.89333647,18102.749148806197,22119.467038885807,260025.9199697336,87142119.0294939,0.1784631270992717,15551655.064060433
2025-11-04,181602778.45836717,49499.60001328021,20610.219215642373,373535.7577221697,182046424.03531826,0.1599800026045209,29123787.39131393
2025-11-05,86239584.38240586,11622.2586484618,191341.13852716793,139173.75306689256,86581721.53264838,0.1545743565931627,13383313.898637505
2025-11-06,101339969.73884334,89668.20649972877,17805.96063924001,254434.33282023895,101701878.23880254,0.1619940611501581,16475100.282502512
2025-11-07,84947327.07627271,11706.0093227344,8791.6709832644,258089.26030938112,85225914.0168881,0.157368278925698,13411855.4087072
2025-11-08,32758385.65653903,7112.278306300502,3592.7082342193994,162929.78515738843,32932020.428236943,0.1811229962722572,5964746.213261458
2025-11-09,45246853.67805936,6866.508576261998,2647.2050596529994,149266.61964624005,45405634.01134152,0.1779276801224471,8078919.1241268795
2025-11-10,94121336.78635432,37024.33324230352,4257.948232615,339403.7578730462,94502022.82570228,0.1779031987840259,16812212.152253468
2025-11-11,45301752.21445455,54947.76504208624,2595.4359122241003,523131.9423788363,45882427.35778769,0.1888136511682357,8663228.63388524
2025-11-12,68193022.55324607,44980.24054852899,3832.7327077403997,158694.07179024178,68400529.59829259,0.1775696037562669,12145854.93748762
2025-11-13,67894020.54577962,6349.0746297959995,4862.644077769199,309267.98932050396,68214500.25380768,0.1718370303244504,11721777.14868078
2025-11-14,69525609.99128543,12656.916788663404,5057.499790350699,659881.2797652814,70203205.68762973,0.1682579188672168,11812245.286807736
2025-11-15,32208431.551156864,4293.914961238001,2887.6009255651998,46177.05178334452,32261790.11882701,0.1611294814898035,5198325.513779462
2025-11-16,29019025.08267946,10873.486939822202,4677.0480747258,131668.32122955236,29166243.93892356,0.1635237295673739,4769372.986364595
2025-11-17,721132135.7831062,12976.845842104003,7331.517404294401,136412.54755751704,721288856.6939101,0.159397427406153,114971588.17373464
2025-11-18,43335477.83397782,10720.850969835,7683.477184972802,249368.0457246649,43603250.207857296,0.1522569824456343,6638899.301470328
2025-11-19,50081185.991063915,11831.3665232083,4887.272077393201,299825.4337604558,50397730.063424975,0.1568045662851006,7902594.204348928
2025-11-20,54007693.6759174,17738.957959850002,10669.566786749196,336111.77879496955,54372213.97945897,0.1516600786147701,8246094.246583849
2025-11-21,136926534.20729357,134103.08069048883,37733.17280212205,396448.6793398867,137494819.14012608,0.14413074506537,19817230.72529467
2025-11-22,56083844.81275734,3966.6200783579993,3681.6215711502005,90318.79445320553,56181811.848860055,0.1368421238708534,7688038.456310687
2025-11-23,26034295.88251977,3930.8035963548004,4449.689528802,145731.69946170322,26188408.07510663,0.1356340624623294,3552040.176647984
2025-11-24,46471732.08240259,28431.80844212761,4885.959421309499,99986.53108755301,46605036.38135358,0.1437067345528734,6697457.592082186
2025-11-25,35571562.46985275,92290.74310870924,2398.7107768527,85347.37343721747,35751599.297175534,0.1436819910014499,5136860.968504217
2025-11-26,61683492.171868734,11894.0220723218,2470.0683396517998,94077.15039931683,61791933.41268003,0.1462218246420419,9035329.251761628
2025-11-27,36879892.8516879,14663.374340705997,88457.93477496032,327818.86876010534,37310833.02956367,0.1462953620197629,5458401.825318945
2025-11-28,38150001.62511389,12587.916731934401,11900.291353509598,272810.25691318745,38447300.090112515,0.1443480561566615,5549793.032479578
2025-11-29,17662123.152735736,26738.882440420493,2039.9520035328003,194512.70543483424,17885414.69261452,0.1436469400806715,2569185.0926679596
2025-11-30,22017374.90676724,19857.315516196508,2171.3018781340006,2090609.4842394372,24130013.00840101,0.1399680190905102,3377430.1214141324
