Date,Close,High,Low,Open,Volume
2025-09-01,0.014818688854575157,0.014830543659627438,0.014800996519625187,0.014830543659627438,0
2025-09-02,0.014800996519625187,0.01477909553796053,0.014771012589335442,0.01477909553796053,0
2025-09-03,0.014705882407724857,0.01479449961334467,0.014705882407724857,0.01479449961334467,0
2025-09-04,0.014705882407724857,0.014813175424933434,0.014705882407724857,0.014813175424933434,0
2025-09-05,0.01480304915457964,0.01479770801961422,0.01479770801961422,0.01479770801961422,0
2025-09-08,0.01484424527734518,0.014834366738796234,0.014809872023761272,0.014834366738796234,0
2025-09-09,0.014850207604467869,0.014828601852059364,0.014828601852059364,0.014828601852059364,0
2025-09-10,0.014492753893136978,0.014836440794169903,0.014757822267711163,0.014757822267711163,0
2025-09-11,0.014705882407724857,0.014863982796669006,0.014826105907559395,0.014826105907559395,0
2025-09-12,0.014705882407724857,0.014922484755516052,0.014852430671453476,0.014922484755516052,0
2025-09-15,0.014851229265332222,0.014869039878249168,0.014845088124275208,0.014845088124275208,0
2025-09-16,0.014925372786819935,0.015079531818628311,0.015079531818628311,0.015079531818628311,0
2025-09-17,0.014925372786819935,0.015157148241996765,0.014925372786819935,0.015157148241996765,0
2025-09-18,0.01515151560306549,0.01505735982209444,0.015044442377984524,0.01505735982209444,0
2025-09-19,0.014925372786819935,0.01504806149750948,0.014960897155106068,0.014960897155106068,0
2025-09-22,0.01503455825150013,0.015023615211248398,0.014925372786819935,0.015023615211248398,0
2025-09-23,0.014925372786819935,0.014960859902203083,0.014960859902203083,0.014960859902203083,0
2025-09-24,0.014925372786819935,0.015015842393040657,0.015000191517174244,0.015015842393040657,0
2025-09-25,0.014925372786819935,0.01504786591976881,0.01500945445150137,0.01500945445150137,0
2025-09-26,0.014925372786819935,0.015042025595903397,0.014957579784095287,0.014957579784095287,0
