date,hog,ora,vote,hay,talgo,finite,xalgo,tiny,alpha,puff,vest,gonna,gobtc,busk,unit,pow,niko,sparky,coop,opul,algo_vol,price,usd_vol
2025-09-01,1247848.888878894,25529.741061658257,169498.38648286072,,8086715.873592774,139592.15863983022,7243829.764539902,3310133.5197489164,410804.66545102274,,14536.531833454148,41909.352069784494,1260547.7957656,18563.470061672564,5011.619565311262,42956.80686907429,4144.216772060138,129045.63712695627,56908.33407827768,262762.9106221765,22470339.673160225,0.2315820545213015,5203727.427301955
2025-09-02,296058.3162562153,16698.925261300523,93552.69400069436,,6365626.549913448,72585.85983391221,3358491.35695569,405403.38911918254,242993.58960875764,,32777.364725498795,68378.68078385317,245196.7214418,7800.793039529493,17095.918093035994,157662.30348636096,16755.93301379731,37460.906130225456,27922.712868221755,74758.46009551459,11537220.474627038,0.2271275414091982,2620420.5210979017
2025-09-03,214924.98418126893,80155.50936853314,94402.8430157414,11386191.229639342,4372898.40899964,63495.797236269515,6949668.966961508,296099.0331940744,649393.921911995,,32680.04130701462,44322.13279648525,132661.52839679996,47280.62366085391,28537.758379101688,46234.42207854012,15962.684751857485,124108.25603725831,14809.431784618559,306991.0518891682,24900818.62559007,0.2333128973914898,5809682.140956394
2025-09-04,575804.1017856002,32928.92059400769,84414.58644502515,929438.9956791819,3672635.9281274015,83788.15575525475,2868314.4964793236,282396.9601973245,1433731.7537804414,,54285.17441402591,83062.14332829766,229062.0328164,56883.35736340143,5646.073325588849,198076.63719835677,21042.45698612843,1479292.7645915605,129319.55542393825,82538.07791690102,12302662.17220816,0.2325592182344171,2861097.4969708654
2025-09-05,308593.94084543944,47307.98386565189,74515.88235415543,1446309.309657614,847598.7158806262,64964.11117430639,2687552.838098947,403315.45965626487,750184.0353706616,277190.4823292121,46481.34288420526,30225.572097807766,627912.9094373995,457080.55800510524,10371.718571148102,211179.69378571538,3350.529198082625,61419.547908416556,183486.2504262328,162306.15645683845,8701347.03800383,0.2273306507742835,1978082.8847622948
2025-09-06,324870.1672634014,90771.73257603288,54489.622253592155,573403.7211362541,503387.4462497642,47118.16035272638,1659545.133776,182821.27806407356,154230.61502587463,75692.71801993925,11918.520949023843,16705.98277253462,172634.64480220008,1493107.6119109113,4084.4511177057448,33431.48699037434,5220.920477124223,17186.23198878021,39126.02641488156,99479.81375523852,5559226.285896433,0.2297770455672258,1277382.5916129441
2025-09-07,141137.56897938807,43396.329560339174,48148.06993688473,699769.1746312012,2888579.550500079,24728.60170849666,2508967.65481824,264561.3095327026,291426.0355012096,50318.03165548747,24087.849626575247,16186.063045506238,163415.84008399994,45663.323969564706,24301.425811683606,50199.939661825,7394.299326307494,31893.697753286604,13426.550023102734,122313.54411263134,7459914.860238512,0.2270839404306107,1694026.8617398299
2025-09-08,530503.8401229503,26549.91369750208,38739.97156417537,464607.7484544763,1498024.8558523962,44572.76919229582,1732685.9012590668,57636.30483323106,199515.82044343045,30013.2014330131,37621.4739173561,5316.497792196452,115415.05803749987,109816.10201676175,52617.369955144524,30420.381366697693,1265.034201834388,9003.749105483545,6383.7372282687775,190911.28578022926,5181621.01625401,0.2312020086873371,1198001.187214448
2025-09-09,304230.8939975845,59001.694771655406,93885.33558899598,1049469.9601280235,1560005.8960897725,78885.41753161672,13278911.339413458,65031.1679549557,220521.20444695646,57485.65663473227,45064.23808411208,34447.21241381402,630121.5942875999,7484.45294022664,8357.24646694578,44642.21583170654,3126.411138068134,5920.991009428165,32507.492873370535,240926.27783031284,17820026.699433338,0.236550919553889,4215343.702225809
2025-09-10,1434080.4943580513,55594.51915793869,102219.58236006704,5288469.170466865,3305870.2773901736,50974.32441970422,4926448.2904644385,168219.6429193533,275196.4204890821,12849.601643621381,50747.4872152064,33159.83287274879,152289.89999080022,8483.177936725117,9583.633874806888,24195.605971866804,2406.6373767473597,16161.922057437183,31901.704998181434,226967.7790067525,16175820.00497057,0.2335423492701933,3777739.0053326166
