dt,folks,hog,ora,xalgo,vote,alpha,gobtc,talgo,tiny,hay,pow,iga,opul,silver,nova,coop,compx,mit,wbtc,busk
2025-12-01,43421.237172999994,52753.07505100005,129076.39442598048,9278727.316836998,2316406.2411719994,28903774.216113962,1.2473167599999997,1734383.2148800006,66896538.292499974,12707296.400312003,78716363.315523,79.25552500000002,1482960.38351879,5700.975549999998,232288235429.43515,622084.878297,92364755.79689907,43156.15099999999,0.3836676199999999,925781151.1624767
2025-12-02,100986.15852400009,7949.676655999996,86495.45667696022,5552850.031890999,1475051.6163209998,5807881.985087995,0.7930679600000001,913618.0607220001,7834201.772378998,1564280.3286329992,22835353.916532997,32.99573500000001,1779201.071028571,19526.257576999993,149255257607.98706,3165450.220198002,15433039.993953995,23387.710000000006,0.11027032999999999,263674818.070828
2025-12-03,12912.561894,28621.392013999994,61838.94415808028,2305207.262123001,1379791.596637001,6397801.927226001,0.25904195999999996,2583857.4327549995,7493635.986742,5728772.392774001,40626995.724484034,21.11645799999999,716161.1772192522,32177.50309599998,74281216809.71333,366111.3450220001,6925935.051351001,22835.118,0.17341538,525165847.91048104
2025-12-04,8305.939985,28641.80826699999,95313.58689934021,3219477.399371999,1146693.5053309996,2981499.224295,0.5098471699999998,518482.0141479999,3106800.9473309997,3994414.7303819964,28747959.947906993,11.714429,1097786.7778326038,1037.1125470000002,132851905274.93044,202899.53202500005,3046972.9504079996,19839.66,0.22057398999999994,265263776.18776497
2025-12-05,9582.037819999992,31232.287505999975,80556.00123626037,17638250.898355007,765659.4305129999,1569870.411259001,0.5320379499999995,644549.9580549998,1601257.9534359996,497699.1412440001,9561368.920849998,11.361524,1897782.5308659105,3129.7974929999996,248557681345.5237,152999.89649399996,11129729.234941004,18702.833999999995,0.10102062,750285977.2479372
2025-12-06,5698.784140000001,22155.406598000012,127516.13733622919,2744960.3606020003,590635.0801150001,13900210.99883201,0.11532487,375999.8643689999,1899394.3728380005,463543.247467,9916569.171818,9.868774999999998,2556834.715835486,279.374058,118102873348.48907,142840.425649,972466.0860620002,17941.679999999997,0.024596859999999998,321103106.94866395
2025-12-07,19831.720969000005,24823.71387700004,72427.90384169013,6765139.791022003,1166515.070763,10333079.063958006,0.69096647,662729.1531499999,2118393.909536999,2665729.6190339993,8465678.506063,29.619186000000003,1348431.4048853745,1685.7630769999998,306006209183.509,3762506.187645997,29985772.974419005,29070.98,0.09216847,367124158.4851501
2025-12-08,11136.889489000007,44794.17315200003,164430.95288139008,7021817.159613,781267.4634749999,3754347.6016409984,0.49956795999999914,445170.067693,7975772.394043,883103.0135960001,6987701.730138001,11.495995,4645614.734799462,892.6441560000002,55476943631.36159,210923.60322799996,10419640.190210003,91306.237,0.04028182000000001,546139095.6022148
2025-12-09,32146.676013000015,16905.55460000002,42877.24273523018,12543087.015734999,1966400.1618310001,3130956.005542,0.40088988000000014,2319383.105972,3883162.0236389968,946967.5228300005,6133583.555705001,34.029540999999995,5896227.289405771,1447.3744529999997,309464140671.664,302822.8128640001,11743454.962363003,21502.016000000003,0.10337641000000002,189636041308.6344
2025-12-10,41743.01854100002,16231.883895000004,36591.704933179964,8555145.263425997,1166536.7202120004,1370212.2508350003,0.3357907400000001,625800.5958490002,7464406.069113001,1145063.0614009998,5551785.882436998,19.307861000000003,2188316.8370941994,2776.8600710000005,56343389248.61588,142354.42652500002,2873929.0986860003,21397.356999999996,0.052224210000000014,4117575609.936342
