dt,usdc,usdt,eurs,xusd
2025-12-01,9568603.089195061,18234.709693999983,13985.592259000008,444347.12002499984
2025-12-02,8867644.847493896,2189.8406369999993,696.325935,46553.79424800002
2025-12-03,10420817.459143955,1224.3973919999999,367.2735329999998,145360.06908300004
2025-12-04,10681369.626817863,3213.506219,231.46722499999996,49473.70131100004
2025-12-05,8273761.736066996,1233.4946849999992,411.82656700000007,15578.848132999998
2025-12-06,1873181.666398977,789.9510400000001,104.6945,13043.743278000002
2025-12-07,3310534.4962509326,1580.740249,365.788719,32141.817180000005
2025-12-08,6471767.459759983,8115.789804999994,392.59036699999996,12438.253353000002
2025-12-09,5403151.785477003,9654.319336999997,510.72138300000023,21343.739054
2025-12-10,8247561.910599963,9228.231928999998,883.191245,23912.803847000006
2025-12-11,6282389.2622499885,10412.179007999992,1526.9956999999995,60391.23300499998
2025-12-12,16239143.055037003,25086.443323,709.406262,79904.85884900001
2025-12-13,5122747.387804041,8386.107164000001,1907.7490220000002,417486.71733999986
2025-12-14,5715091.157800969,39303.44701799997,1810.2316069999995,187978.06408000013
2025-12-15,9666102.441589031,13409.152344999995,1054.634037,111003.86160100014
2025-12-16,7863931.561624004,11642.973487000001,389.1928440000001,61983.729479000016
2025-12-17,6916321.534171995,9301.305632000001,837.115955,18110.111566000003
2025-12-18,7779454.574537998,42620.27000000001,4122.881832000001,63901.64209700001
2025-12-19,4815198.814416026,18726.01203900001,2585.2922289999997,13897.470344999996
2025-12-20,4296478.816898869,880.7198200000001,861.3238170000003,7671.418830999998
2025-12-21,5192351.83090614,522.7745929999999,1118.0861979999997,12664.869787000001
2025-12-22,7734362.398150876,5830.881976999999,1760.6966939999995,5514.578700999999
2025-12-23,12155835.614714924,920.3141639999999,1060.869293,7271.4610820000025
2025-12-24,7084389.460777989,527.3542379999999,582.468036,8463.515857000004
2025-12-25,2288817.5198390116,2600.9048189999985,925.7661789999997,74880.30899799998
2025-12-26,4547465.961532004,847.5813729999998,187.529437,6481.4785299999985
2025-12-27,2658998.6772920107,9526.516502999997,374.0456600000001,13201.516886999998
2025-12-28,3747002.0287800357,605.7475339999999,472.04241400000024,8315.776810000003
2025-12-29,18126102.253112238,5289.7124870000025,4320.604631000003,29345.108842999995
2025-12-30,5555414.325114037,3350.148984999999,194.711888,13399.624979999995
2025-12-31,6499346.273943038,2710.24301,626.6265399999999,8457.377009
