date,ora,talgo,vote,niko,tiny,gora,gobtc,alpha,daffir,chip,compx,monko,coop,deathos,opul,shame,xalgo,yldy,gold,juan,algo_vol,price,usd_vol
2025-06-01,8549.759210855671,3460688.9462704016,41536.45603641434,40001.4271332281,598978.663578051,58427.00598758335,205254.63074199998,194580.88638928562,7460.135443669158,112017.08780303998,33547.53552006284,85184.97637276123,26218.700721690228,3.41834161110923,39574.53013806927,3.7793026300534818,2368857.042961301,368.3249007592315,9487.61537224,,7290740.922225653,0.1940916790422201,1415072.1470566012
2025-06-02,24374.29991868144,3267079.3130323365,64714.08928010639,2328.6013836899156,718112.2465922987,461550.81723875756,632880.5475928002,107109.02478958647,15377.009958431154,52496.928812590006,15863.783997570203,213197.65549013834,263518.1403404161,5.908777000010322,1212451.6615329487,,7995417.270487544,275.1950569433017,25339.72302664,1939939.7897195371,17012032.007028017,0.1955613664564758,3326896.225495701
2025-06-03,12839.250829566137,2427008.9293129467,42754.65359161566,29261.67250384503,176288.1490158117,28295.028687085345,330352.0863166,210936.02471465597,5350.270850460196,53301.03300058,16345.48415276616,149586.5270901313,120978.92393057134,116.15801972669098,1657410.5690381236,11.187192158202263,3138400.377947359,1057.9343804277732,20195.573380890004,368981.6177557327,8789471.451711053,0.1990344670686032,1749407.7662060116
2025-06-04,15974.193429374205,1635675.7708806521,35982.348045894796,8536.093903113488,106694.06357146589,66203.97117778692,422244.3958915998,93702.67141048984,6384.5483430168715,29548.33652304001,13328.069921419274,104078.47584306038,8186.251977254088,2.2829392631918966,413445.0486354236,1.097937239497154,2258362.49328132,4615.931693890623,14419.5091755,420566.51312448,5657952.067705286,0.1975181721691381,1117548.3506337437
2025-06-05,32421.383394658602,3944814.759300405,195457.96206152282,12911.109289899036,498002.5295207141,254633.80667619614,1027834.100837998,413869.3440305433,9138.60566627193,12350.564753940002,53508.393698031316,126255.09022553776,44258.84957955801,56.14807460527479,347940.6292533101,3.9461192470741735,3760809.6156746754,4979.799703828144,92587.6677558,94386.50437479261,10926220.809991535,0.1917045677661428,2094606.437696862
2025-06-06,12591.929971176845,1071785.5443456802,52659.20184256602,1353.322273910702,172093.76363678166,41625.98959442206,203920.91359760007,95637.20691958764,5848.230558603863,182671.30286352002,9986.501206989187,73074.44221336486,16146.529521527982,78.99648820304027,88553.14365285732,9.20179425929047,3468895.6471951297,250.42069118149442,125812.34613870004,106862.23666234507,5729856.871168408,0.1816346061851391,1040740.2962918871
2025-06-07,17111.77766655133,1046471.80059848,28892.184089602433,8258.113030978575,192308.04012980865,18787.120897267294,408510.98691339995,174282.131683405,7916.352874699686,12317.205734300003,16100.859081380424,32189.539140727924,7607.4590222785655,139.08736211726728,32698.476044754865,7.5558577109292,26021114.86875753,42.19962232244926,116759.45265268035,297555.48687248176,28439070.69803248,0.1873440777660908,5327891.472447551
2025-06-08,16600.62163485872,1286492.49015383,37383.1617137348,1257.817373482952,357189.74075371184,44154.87142992537,332721.353916,142169.6385453369,14208.719825941173,10973.215754710001,18850.465944272826,163827.86789515833,20384.13147198895,99.88198945821463,37279.786161503565,5.080131970645201,1653528.1376182605,43.564359326872115,192595.71622367992,514933.7381338166,4844700.001030968,0.1911145797586393,925892.8047537127
2025-06-09,78791.18557210948,2507193.9703098177,40908.806933082815,8302.40742832242,105080.13255987581,258001.77927444808,486909.6718992,384984.4984103077,3573.443856377603,112750.63621504004,23885.982679533383,145503.84510462868,22566.061190726847,1.8735486383058504,322974.2892678344,0.20030608491637122,4086074.662093944,837.2705383089097,45479.762930729994,522362.0567945543,9156182.536913566,0.1903936088296841,1743278.636306306
2025-06-10,11630.411599459861,2660133.2366060833,53967.28689622978,10905.952927579094,137250.3592506729,65854.41039482655,268023.3453460001,355234.96462651173,6435.0151372397295,30752.848631380002,12462.79332699828,154887.69788677065,14180.072244339342,84.8475548900093,64308.296463143226,18.720513988059267,4098203.8205943094,424.8210515708983,15745.241882319997,248429.84276875184,8208933.985703064,0.1996472482449154,1638891.0812697825
2025-06-11,15958.15752259524,877825.9849121023,46071.689276436126,18840.344067445203,111638.1286410109,71958.95848929361,652933.1987639995,165368.2761624477,2470.722457698297,16567.79415283,22720.248407196756,184578.47875001817,19747.89924243656,,220454.30933515754,0.1769949545239096,1441493.4778696955,71.95151941855858,25286.364573299998,430514.4898821595,4324500.651020196,0.2078042419398222,898649.5795535195
2025-06-12,22518.34548086297,8977274.775957191,182627.88165539928,9853.360151833824,512514.25980562164,120518.98813912904,1629391.7906731,440396.6615856643,12341.118476241316,73101.71410380001,56296.415392371026,386513.36699875013,66455.13743942321,192.31832505782072,233052.9314020161,115.06984784499042,15743796.556860538,303.18175566477476,158207.23454821992,522126.38252459804,29147597.491123326,0.197100549479948,5745007.481520762
2025-06-13,83736.29775228935,5973663.354743246,219967.64689815126,8020.232374959679,296150.18486003403,159534.73859822875,862620.3006695989,364245.84672372654,25785.331958538703,354519.04873679986,30316.116236899874,622097.5734986517,173136.6985297967,6.135121683943724,259042.77605163737,3.8060594762036386,12415321.617743194,667.8345293009719,356360.4881205604,190282.63934659617,22395478.668553367,0.1814437171028797,4063518.895920574
2025-06-14,18261.262254013076,1766594.5935931418,49523.774936976995,1834.635960692404,221939.77673232523,132831.28825154548,250005.1475324,317225.431554358,9601.974877237128,50471.83023422001,22526.690782208192,68309.32559824237,32757.94847741637,16.283154009723358,108946.50868249826,1.874950249470532,5623478.6746048555,34.1499749240293,300402.5202378001,58878.650696554236,9033642.343085667,0.1805683885245681,1631190.2403982824
