date,usdc,usdt,eurs,xusd,algo_vol,price,usd_vol
2025-06-01,28819416.33509442,15166.860428468703,9147.4481068644,212301.3797761619,29056032.02340591,0.1940916790422201,5639534.041727369
2025-06-02,86990092.45225252,3328.4431843482002,12944.402228094,78441.46500859561,87084806.76267356,0.1955613664564758,17030423.808106583
2025-06-03,32172620.50811691,4352.6530835656,6579.4676725007985,90498.62105140225,32274051.249924377,0.1990344670686032,6423648.590673485
2025-06-04,74207419.69424383,3542.1560091280994,12266.013636146798,84242.2742127756,74307470.13810188,0.1975181721691381,14677075.680190695
2025-06-05,153753323.55827305,12328.8999511314,14525.356675941994,186443.9279295055,153966621.74282962,0.1917045677661428,29516104.67162236
2025-06-06,37539743.39884888,19075.5502453408,27889.937414092794,237424.32535910877,37824133.211867414,0.1816346061851391,6870171.540231778
2025-06-07,10657187.035521906,16983.7888106835,1123.4807702734,26005.915190785603,10701300.220293649,0.1873440777660908,2004825.2206689778
2025-06-08,49560092.70070074,4074.127417943599,29127.516718561208,26346.4691036176,49619640.81394086,0.1911145797586393,9483036.801930934
2025-06-09,85926199.05184507,8587.759611599999,7986.3559003728005,72886.59024669231,86015659.75760375,0.1903936088296841,16376831.877116408
2025-06-10,50839410.29848275,22816.28146465749,32089.31551082816,35035.667019172804,50929351.56247742,0.1996472482449154,10167904.894346498
2025-06-11,105549450.9039686,17717.689679799594,27006.12570918558,75351.40104749499,105669526.1204051,0.2078042419398222,21958575.77159102
2025-06-12,105501092.13734107,19396.8454771322,52482.222561871204,206984.30688286465,105779955.51226293,0.197100549479948,20849287.35543148
2025-06-13,269965447.43143064,97156.78351858957,41118.112120953694,229390.10129003253,270333112.4283602,0.1814437171028797,49050244.77499237
2025-06-14,17699063.290485717,13759.885880515503,16626.746150147006,161111.62202033598,17890561.544536717,0.1805683885245681,3230469.8678966034
2025-06-15,22486610.537320133,26317.7804528142,44733.60200956539,675362.8719661414,23233024.791748654,0.1773497969251392,4120372.228773348
2025-06-16,60665434.66858201,23036.594091240102,24241.606028198003,265859.94009907363,60978572.80880052,0.176395771703228,10756362.407969844
2025-06-17,973444029.6455946,73869.2128706378,29238.771560242487,351153.7835398559,973898291.4135653,0.1768741936547804,172257474.9955427
2025-06-18,105387201.84992452,29528.7913668615,9273.948965658297,2983092.351917751,108409096.94217479,0.1699069740672755,18419461.622810848
2025-06-19,26632095.632289432,12756.312403239303,2336.0336162437993,647834.8997602022,27295022.878069118,0.1705968334459829,4656444.47183425
2025-06-20,118852513.331058,22740.8524476243,6322.0038897852,1311404.971614043,120192981.15900946,0.1692780992429178,20346039.392936952
2025-06-21,28827272.354608163,60425.94663110931,8352.9795125704,738029.9945616209,29634081.27531346,0.1669887799892554,4948559.078267032
2025-06-22,45778386.06387469,55584.91725827042,14322.962769408003,2601450.7736608335,48449744.717563204,0.1603351603379295,7768197.587622249
2025-06-23,88612924.60051383,97507.95407769596,23390.920905134903,719459.6308680235,89453283.10636467,0.159872460064805,14301116.43108798
2025-06-24,143968551.51468375,12660.933290028803,3969.9498006837,351450.25583525916,144336632.65360972,0.1795133083218678,25910346.439687613
2025-06-25,62375638.174945354,9542.294098075203,17422.853460646802,134424.3344551208,62537027.65695919,0.1826350427791137,11421452.721407358
2025-06-26,53540351.946066424,14830.741432730289,134017.0430494219,254604.73995562742,53943804.47050421,0.1758006890108036,9483357.993778707
2025-06-27,71272575.13608234,5268.079177647501,13372.574936938001,35290.3698573408,71326506.16005427,0.1720168329902254,12269359.697910339
2025-06-28,23586171.648330938,6494.758204606398,2890.5998150568,1484925.3841670724,25080482.39051767,0.1748547771287205,4385442.158674766
2025-06-29,20761348.26723924,39276.53282999703,4006.6076624448,309418.38893794204,21114049.79666962,0.1764098485946643,3724726.3278506906
2025-06-30,89381550.65301669,7114.2018658906,6511.5457545153,366189.91402074066,89761366.31465785,0.1859339607361676,16689686.35997435
