Price,Close,High,Low,Open,Volume
Ticker,AFNUSD=X,AFNUSD=X,AFNUSD=X,AFNUSD=X,AFNUSD=X
Date,,,,,
2025-06-02,0.014562403783202171,0.01459107082337141,0.014582926407456398,0.014582926407456398,0
2025-06-03,0.01459107082337141,0.014616106636822224,0.01455358974635601,0.014616106636822224,0
2025-06-04,0.014529126696288586,0.014565554447472095,0.01453941036015749,0.01453941036015749,0
2025-06-05,0.014705882407724857,0.0145776541903615,0.0145776541903615,0.0145776541903615,0
2025-06-06,0.014925372786819935,0.014925372786819935,0.014501776546239853,0.014501776546239853,0
2025-06-09,0.014475120231509209,0.014501015655696392,0.014501015655696392,0.014501015655696392,0
2025-06-10,0.014705882407724857,0.014925372786819935,0.014508441090583801,0.014508441090583801,0
2025-06-11,0.014925372786819935,0.014498288743197918,0.014498288743197918,0.014498288743197918,0
2025-06-12,0.014705882407724857,0.014605616219341755,0.014518153853714466,0.014605616219341755,0
2025-06-13,0.014925372786819935,0.014503596350550652,0.014472956769168377,0.014472956769168377,0
2025-06-16,0.014579232782125473,0.014552800916135311,0.014521567150950432,0.014552297070622444,0
2025-06-17,0.014492753893136978,0.014492753893136978,0.01438872329890728,0.01438872329890728,0
2025-06-18,0.014705882407724857,0.014492753893136978,0.014339922927320004,0.014339922927320004,0
2025-06-19,0.014492753893136978,0.014281992800533772,0.014271296560764313,0.014271296560764313,0
2025-06-20,0.014705882407724857,0.014261329546570778,0.014261329546570778,0.014261329546570778,0
2025-06-23,0.01427377387881279,0.014279845170676708,0.01422808226197958,0.01422808226197958,0
2025-06-24,0.014492753893136978,0.014492753893136978,0.014256080612540245,0.014439001679420471,0
2025-06-25,0.014492753893136978,0.014324716292321682,0.014324716292321682,0.014324716292321682,0
2025-06-26,0.014492753893136978,0.014415289275348186,0.014369168318808079,0.014415289275348186,0
2025-06-27,0.014492753893136978,0.014419589191675186,0.014355968683958054,0.014355968683958054,0
