date,usdc,usdt,eurs,xusd,algo_vol,price,usd_vol
2025-12-01,72969210.2978926,61653.376946383345,122650.84699297827,3102076.114318529,76255590.63615051,0.1373969492463426,10477285.51638505
2025-12-02,63758366.453481115,7147.639839167998,5833.261622682,304648.0295589121,64075995.384501874,0.1306211586835672,8369680.760926538
2025-12-03,72227727.89107266,3869.3406381984005,3005.8767761318986,946613.8418823129,73181216.95036931,0.138904130853187,10165173.335269567
2025-12-04,76721073.61854467,10329.1730397317,1932.0337803524997,327441.6921268538,77060776.51749161,0.1439416215254193,11092253.127935696
2025-12-05,62192212.2176684,4058.8142609924976,3497.6430335310006,106085.72424647678,62305854.3992094,0.1385770693587352,8634162.7065345
2025-12-06,13942278.461174225,2564.3390660480004,882.5327572000001,88364.838836811,14034090.171834284,0.132810202436767,1863870.3567371534
2025-12-07,24984272.789756164,5153.8455078396,3107.4483256488,219798.60260371203,25212332.686193362,0.1335807209310618,3367881.576575483
2025-12-08,48277443.719571546,26315.44844271248,3302.3131310572003,84259.21586389262,48391320.697009206,0.1324907818718111,6411403.914956304
2025-12-09,39026965.34650039,30625.431800831386,4235.105996389202,141867.56474412722,39203693.44904175,0.1335725785990949,5236538.424596951
2025-12-10,60653395.046743184,29613.396260160993,7336.316395716999,161179.47176993414,60851524.231169,0.1382713175511319,8414020.430438366
2025-12-11,48272622.61327646,34062.40240677117,13429.621782359996,421778.41043022036,48741893.04789582,0.1350452977355856,6582363.458849161
2025-12-12,131473726.0878851,84887.50691636739,6421.3326617453995,599318.4033110397,132164353.33077426,0.1300108662208348,17182802.060050435
2025-12-13,42162772.37532115,29009.221901708803,17772.017564245398,3207425.2033080165,45416978.81809512,0.122984382806048,5585579.108858783
2025-12-14,48081633.41969533,138442.4617762031,16799.130336120696,1477657.966120065,49714532.97792772,0.1220329766782781,6066812.443466941
2025-12-15,83750977.99490401,47661.491095067984,9883.2919509381,902938.7114210154,84711461.48937103,0.1191146050594957,10090372.27931911
2025-12-16,67067540.32331031,41605.0014584458,3617.5864042644007,495113.63433235633,67607876.54550537,0.1154577740114873,7805854.931587492
2025-12-17,61983381.957096,33011.2638185312,8003.5819341595,149917.31455450464,62174314.1174032,0.1168087973671389,7262506.859180594
2025-12-18,72504516.63469414,149882.70350900004,39836.52112533361,553861.092711538,73248096.95204002,0.1114250962466605,8161676.252765778
2025-12-19,41757885.63849722,71626.99604917504,24666.0146276661,112454.16079063647,41966632.809964694,0.10727297346031,4501885.487641918
2025-12-20,37319215.00358358,3365.6707921300003,8217.976670378703,62108.573997659085,37392907.22504375,0.1147572915088016,4291108.75478592
2025-12-21,46565011.21956626,2040.0755717231996,10272.416944124996,105300.79335703279,46682624.50543914,0.114740452584454,5356385.463584211
2025-12-22,69135145.16835125,22707.786771228795,17209.929835502993,45734.05554100329,69220796.94049898,0.1116000702711253,7725045.802782981
2025-12-23,107030917.00400344,3543.0254685672003,10063.9365480445,59576.53493704242,107104100.50095709,0.1117607233537683,11970031.746141661
2025-12-24,62447476.21886581,2029.6282557905995,5438.271064917601,69704.67024666634,62524648.78843319,0.1136830184688899,7107990.802976305
2025-12-25,19947731.330652937,9917.250074846994,8550.191276008196,608776.9121537398,20574975.68415753,0.1129514325556425,2323972.978323104
2025-12-26,38361968.104887836,3173.3446605119993,1702.954817397,51413.68029137199,38418258.08465712,0.1137992698299841,4371969.718173863
2025-12-27,22146002.283561967,35602.49747501158,3336.9361419920015,103818.04895105668,22288759.76613003,0.1181552422993316,2633533.8107186873
2025-12-28,31324187.560195345,2272.1590000339993,4150.527333577802,65092.574557956024,31395702.821086913,0.1199275040583,3765208.2774890815
2025-12-29,153877919.85734576,19453.446642191208,41977.69841340673,233408.06122633765,154172759.0636277,0.1199408439134058,18491610.830549687
2025-12-30,48371548.070200436,12225.363676061996,1922.29311428,109039.44827474997,48494735.17526553,0.1172661003810816,5686788.483016656
2025-12-31,59002365.34410969,10176.96250255,6346.473597119999,71776.91293768211,59090665.69314703,0.1149984389074665,6795334.3087148955
