date,algo_vol,price,usd_vol
2025-12-01,116196600.74940448,0.1373969492463426,15965058.455763461
2025-12-02,75365732.37463513,0.1306211586835672,9844359.287810473
2025-12-03,71856733.52611102,0.138904130853187,9981197.116393516
2025-12-04,449212467.1993692,0.1439416215254193,64660370.93811144
2025-12-05,100678259.530564,0.1385770693587352,13951698.15388371
2025-12-06,44216097.061725095,0.132810202436767,5872348.801731449
2025-12-07,195719840.8038084,0.1335807209310618,26144397.43508537
2025-12-08,397605516.0562778,0.1324907818718111,52679065.69884119
2025-12-09,88762004.23863734,0.1335725785990949,11856169.787778582
2025-12-10,125416959.17659636,0.1382713175511319,17341568.1886045
2025-12-11,90446181.80295277,0.1350452977355856,12214331.550626662
2025-12-12,138748350.05288368,0.1300108662208348,18038793.177087016
2025-12-13,149058978.66313457,0.122984382806048,18331926.492585484
2025-12-14,149351359.8266433,0.1220329766782781,18225791.01059388
2025-12-15,144253783.36987716,0.1191146050594957,17182732.434440967
2025-12-16,410714734.05103225,0.1154577740114873,47420208.947252184
2025-12-17,110411490.19648483,0.1168087973671389,12897033.38536504
2025-12-18,261632060.64425817,0.1114250962466605,29152377.538498584
2025-12-19,141006500.9545579,0.10727297346031,15126186.634629468
2025-12-20,50328966.40794676,0.1147572915088016,5775615.869413429
2025-12-21,50065580.971363515,0.114740452584454,5744547.419557878
2025-12-22,94041879.82930258,0.1116000702711253,10495080.397378888
2025-12-23,101398930.84025878,0.1117607233537683,11332417.858006045
2025-12-24,70773460.00705509,0.1136830184688899,8045740.561089284
2025-12-25,68766914.75560933,0.1129514325556425,7767321.534077824
2025-12-26,59528571.0135999,0.1137992698299841,6774307.915370026
2025-12-27,69835168.27854057,0.1181552422993316,8251391.228965556
2025-12-28,48723904.70772428,0.1199275040583,5843336.279571826
2025-12-29,110673833.99424948,0.1199408439134058,13274313.048402462
2025-12-30,76990423.1458619,0.1172661003810816,9028366.689004589
2025-12-31,113761621.4631726,0.1149984389074665,13082408.875846984
