date,ora,talgo,vote,gobtc,opul,tiny,monko,niko,goeth,alpha,gora,deathos,daffir,shame,stbl,golddao,malgo,coop,xalgo,compx,algo_vol,price,usd_vol
2025-07-01,110640.07356111112,4090831.390522618,186527.38059153067,945738.4465656001,36698.16261333896,216130.10733406068,45790.12211518771,73678.52199969345,139098.14166748,158193.21456854048,57437.49428030143,30.180899976154105,12102.009298608136,12.405107166303265,21060.256640840802,42562.704553147196,193497.8284738602,106250.11918529621,12845216.8639358,43887.31690594718,19325382.740820102,0.1852895092380937,3580790.683884883
2025-07-02,12135.398465035298,2118791.2990344116,80663.18204048433,240189.560109,65701.33328710303,176652.04769005024,47580.83117406226,1818.2863527720763,64323.28277099999,191865.84537118886,133060.65260467806,131.3472344957208,3300.228480672672,52.80077333995255,16068.918189241194,4422.4268642372,138847.3080999964,48803.892657271805,2900076.784205609,53259.08869736259,6297744.514102012,0.1712590231881343,1078545.573773542
2025-07-03,14602.766593973436,1959874.128054127,61912.28547733202,467586.8308904003,42629.30161436323,332320.0261045028,19762.049816779912,3967.162516743773,11141.68196362,286082.55353037006,77490.0766601371,130.97998058728717,2674.32896305158,105.24918576490347,10862.3196426634,6943.853774447998,46967.72144949432,61231.082174521325,5241969.098392418,94389.2396432737,8742642.736428572,0.1812344340643998,1584467.9085638677
2025-07-04,21847.298140407078,8171943.062179758,62144.52914913165,1015217.3570214002,27992.527082261833,243381.7666041006,21198.113542380936,14601.634186780071,817197.4673811502,41307.14863692841,475294.0844730852,181.51483815023315,2749.590288911041,99.03100620793847,10763.879683807203,1982.5440858253992,77849.64370216671,34073.76155880521,8426980.803400133,27284.83676655309,19494090.593727943,0.1821007783249202,3549889.069854364
2025-07-05,61402.693069740184,1551262.8754508407,24953.861646071276,343173.38040430006,163210.47912187557,57581.902854896034,10024.546340676488,1259.2950954930136,98772.15939447995,36651.17338243266,61105.81565969161,1268.5689565282735,965.5404561984603,838.0011382108783,8638.9839930158,222.32131758839998,16001.670551293497,10822.07817953536,3443587.681759848,8468.23916668965,5900211.2679394055,0.1735888448897457,1024210.8586070633
2025-07-06,103008.18616322523,1060662.0886727164,21767.7084013206,52708.4235816,461002.8085012173,109543.34354781549,97944.78578839361,2225.081964164322,8745.8076176,127387.68423389678,189398.89592667,438.8650881117949,1304.7326390686862,126.27493852842252,22358.828383140688,900.86974335,41073.907145666395,6088.63766413268,11258204.165743243,25303.33998092047,13590194.435724782,0.174637110840378,2373352.292013957
2025-07-07,132790.36063647107,3581329.0974028623,52002.13486870596,181531.215252,454192.7605380512,168862.1494176271,20101.643276733255,4141.052622094467,312386.25310040993,117098.82663480051,86551.19010850045,635.8120322607009,1801.2789911234956,43.752188080055824,20469.466433775087,999.355432374,38990.3848313169,34552.9407434136,5311769.304144541,25276.735464614172,10545525.714119755,0.1768029564826353,1864480.1239200265
2025-07-08,30491.87202268302,1773169.439728663,43590.60812713752,2845447.2332341,212621.5889699641,202802.4272255357,41857.01102102444,714.3381455970887,10174.10554165,136086.5812480403,164176.57642029144,484.50583312720784,4175.725162244912,484.923445463083,6016.9318646688,1379.6727011965,13426.507459845501,90362.9952013243,5360516.961170366,7411.704636627203,10945391.709159551,0.175981447433983,1926185.875709815
2025-07-09,10548.316390981074,4258865.47265343,79356.99230538886,653947.8854296003,338165.30120952165,120537.73850972591,26556.436853225143,4942.232286248652,31798.522008599994,120493.00917460551,490115.96298336354,455.460631463657,10625.349486314359,58.96654027975054,17776.2543301564,3036.7664729440003,67532.16966011742,142085.94642137852,12906016.353101438,16466.580748939356,19299381.71719772,0.1794015947080239,3462339.856944151
2025-07-10,28388.48807048045,5107983.694563331,165759.00769844512,826877.8080222002,585424.1452267942,444761.06797033007,22502.10306808559,19762.818226266078,88681.23995250001,175672.40991531376,78210.95697400167,6.351440083337535,4229.3663580837565,,35518.451542932606,19464.686962976,73016.27322306651,153662.89226812174,9369549.697622905,42699.53139663179,17242170.990502547,0.1923597048440748,3316698.922604139
