date,algo_vol,price,usd_vol
2025-07-01,338010335.47857714,0.1852895092380937,62629769.17822897
2025-07-02,275348546.9745719,0.1712590231881343,47155923.19113729
2025-07-03,71362430.98255222,0.1812344340643998,12933329.79258264
2025-07-04,67740301.85188417,0.1821007783249202,12335561.691193141
2025-07-05,27512297.193889048,0.1735888448897457,4775827.890150593
2025-07-06,53774558.078073174,0.174637110840378,9391033.459472809
2025-07-07,150917380.03442544,0.1768029564826353,26682638.974699855
2025-07-08,147932432.1854956,0.175981447433983,26033363.538433045
2025-07-09,78615199.30683234,0.1794015947080239,14103692.123934856
2025-07-10,124330573.89125508,0.1923597048440748,23916192.49681626
2025-07-11,160994300.7933062,0.2113105254773241,34019790.29948791
2025-07-12,72833742.19364862,0.2182986692031049,15899508.993955525
2025-07-13,235167860.34054744,0.2187073827369094,51432947.23892017
2025-07-14,419243620.5949623,0.2643311552998526,110819150.58395948
2025-07-15,170177340.60155153,0.2791382733551955,47503009.019696094
2025-07-16,224974364.33222693,0.2830587545300471,63680963.369069204
2025-07-17,254460569.4460989,0.2843520517477673,72356385.01090345
2025-07-18,265464182.07170683,0.3211962158476967,85266090.72453621
2025-07-19,67310758.04709984,0.2934073673442743,19749472.31254699
2025-07-20,79711977.20316543,0.292230346797134,23294258.741966274
2025-07-21,147012393.2702247,0.291531923312989,42858805.760914125
2025-07-22,118071762.50570862,0.2985037534373361,35244864.28291575
2025-07-23,100033647.72597434,0.296237747365577,29633742.46310431
2025-07-24,122288983.34287608,0.2671479741324583,32669254.15876728
2025-07-25,129788211.6519928,0.2619505424970709,33998092.45196417
2025-07-26,63315026.41580505,0.2668654206897246,16896591.16043484
2025-07-27,82075931.56681737,0.2751985484478546,22587177.229693588
2025-07-28,99421306.94096944,0.285605440017333,28395266.1159739
2025-07-29,99136006.98863646,0.2639996636294477,26171872.498566605
2025-07-30,224621204.77167517,0.2602206910741734,58451085.13559873
2025-07-31,79486054.96005866,0.2538686291443732,20179015.808804397
