date,hafn,afnusd_close,hafn_vol_usd
2026-02-01,147363800.88000005,,
2026-02-02,243494554.42,0.015625,3804602.4128125
2026-02-03,204651189.75999996,0.01587301678955555,3248431.771062998
2026-02-04,341292730.3799995,0.015625,5332698.9121874925
2026-02-05,230245441.5500003,0.01587301678955555,3654689.759441786
2026-02-06,17806799.320000008,0.015625,278231.2393750001
2026-02-07,337179713.32000005,0.015625,5268433.020625001
2026-02-08,534763653.1899997,0.015625,8355682.081093745
2026-02-09,470345844.89,0.01587301678955555,7465807.49283666
2026-02-10,554462569.1200005,0.015625,8663477.642500008
2026-02-11,355896208.5600001,0.015625,5560878.258750002
2026-02-12,453862275.20000017,0.01587301678955555,7204163.514395484
2026-02-13,46494432.779999994,0.016129031777381897,749910.1837799664
2026-02-14,381305663.8,0.016129031777381897,6150091.168325898
2026-02-15,79242236.36999999,0.016129031777381897,1278100.5485225373
2026-02-16,460420567.8100002,0.016129031777381897,7426137.969167709
2026-02-17,352897055.58999985,0.016393441706895828,5785197.30934984
2026-02-18,279751081.01,0.01666666753590107,4662518.260002597
2026-02-19,521033977.0999995,0.01666666753590107,8683900.071233982
2026-02-20,55588934.98,0.01666666753590107,926482.2979864813
2026-02-21,227132091.2799999,0.01666666753590107,3785535.052097693
2026-02-22,357165721.65999985,0.01666666753590107,5952762.338127397
2026-02-23,195546878.0699998,0.016393441706895828,3205686.3466060082
2026-02-24,522122863.33999985,0.016393441706895828,8559390.724001825
2026-02-25,247530668.75,0.01666666753590107,4125511.3609955064
2026-02-26,154954922.33,0.016393441706895828,2540244.4864134258
2026-02-27,8352749.479999999,0.01666666753590107,139212.4985938305
2026-02-28,111506737.73,0.01666666753590107,1858445.725758826
