date,usdc,usdt,eurs,algo_vol,price,usd_vol
2026-02-01,224945913.29071346,4537.652241303899,14928.508184326,224965379.45113906,0.1037665423392217,23343879.571675695
2026-02-02,92510349.43739328,15621.0344595025,127716.3281592011,92653686.80001198,0.1005856621817297,9319632.440357793
2026-02-03,77234477.39615528,39451.243761753445,16117.035249103998,77290045.67516613,0.1047682015649799,8097539.084262309
2026-02-04,86424345.4824544,5135.431108637001,37343.12001182404,86466824.03357486,0.1059306999611753,9159491.19329636
2026-02-05,182705674.7462977,15770.457188265184,40094.51882230702,182761539.72230828,0.1030446242894654,18832594.195249464
2026-02-06,280612361.8167261,17596.199364356802,331963.5337417355,280961921.54983217,0.0886395246533515,24904331.171869356
2026-02-07,72396211.76999685,6561.880634742304,3657.1363067680013,72406430.78693835,0.0988376112706502,7156478.659614652
2026-02-08,94235053.34141402,5906.738013639304,2094.136988638,94243054.2164163,0.0977065247581638,9208161.310081253
2026-02-09,150133435.89833722,2755.1879677649986,6590.649422700002,150142781.7357277,0.0969637581360893,14558408.374102747
2026-02-10,69478935.83874182,3101.7876279340003,5961.625627384,69487999.25199714,0.0959602023095534,6668082.466307742
2026-02-11,214476984.08934644,38936.70649105978,21322.551259480995,214537243.34709698,0.0916106458598414,19653895.424017515
2026-02-12,129661491.49018104,2780.0678235224996,3514.967187653,129667786.52519223,0.0888932102925438,11526585.81575259
2026-02-13,96416668.24132559,12892.934738420492,2854.630082619,96432415.80614664,0.0917685030976239,8849458.448617723
2026-02-14,43909883.47750114,6316.460634517997,2764.8574025960006,43918964.79553825,0.094016822300528,4129121.5088052647
2026-02-15,45170420.01909866,4347.441872287498,2063.582245305,45176831.04321625,0.0996798447224044,4503219.503438095
2026-02-16,27605336.013746955,1461.4420576247996,1099.9311212220007,27607897.3869258,0.0958162690206438,2645285.723120012
2026-02-17,95444479.3477545,1369483.6589036977,9857.234526203998,96823820.2411844,0.0946170910724125,9161188.217739042
2026-02-18,58863639.96025592,15650.195103224009,22306.35313452599,58901596.50849367,0.093098395262465,5483644.113337971
2026-02-19,83950601.93458076,4907.568948436001,36836.7478845,83992346.25141369,0.0908836463501557,7633530.692833307
2026-02-20,80604961.57735395,4325.072565747999,10225.135843014,80619511.78576271,0.0890268876530394,7177304.218393982
2026-02-21,62850324.450437255,1739.1933333790003,661.3334414120002,62852724.97721205,0.0904612704078717,5685737.350035171
2026-02-22,54138007.74693797,33836.07308036099,1511.7628273289995,54173355.58284566,0.0897361603314694,4861308.922275941
2026-02-23,110479363.73669036,9012.858331679998,5975.698411280002,110494352.29343332,0.0867061999790744,9580545.406512728
2026-02-24,267078615.56840602,1812.319479185,857.316915252,267081285.20480046,0.0839162222191076,22412452.47981089
2026-02-25,141000571.9547013,15498.495278892982,6006.0618065760045,141022076.5117868,0.0836149348480943,11791551.739676023
2026-02-26,182455930.5945346,10612.530452239997,27244.057028159998,182493787.18201503,0.0906523406592491,16543488.963820534
2026-02-27,100879379.50859642,7652.608270547999,2396.357205064,100889428.47407202,0.0881382084986614,8892213.482158545
2026-02-28,143275302.38281107,13029.251445209993,4327.9684173359965,143292659.60267362,0.0865121135359955,12396550.836421257
