date,gobtc,ora,vote,folks,hog,alpha,talgo,silver,tiny,hay,wbtc,xalgo,gold,nova,goeth,coop,costs,opul,pow,golddao,algo_vol,price,usd_vol
2026-02-01,8753372.925227595,25524.694959028435,471558.1807866118,994867.7386390868,82724.93303957158,1207287.6746115505,1940277.6063571891,1504598.45879119,566478.1955383812,494880.0206448321,1081851.8189039999,10285889.279639056,1059857.3801168,19115.945065537293,279536.23383693985,96488.08465873697,,511750.4585514419,101930.09959857298,28871.514049429803,29506861.243015546,0.1037665423392217,3061824.9664709126
2026-02-02,2843675.7744007944,23578.883948104864,395931.9330885275,963094.6567975795,79590.28002946656,850741.5725804407,1114037.6810716498,1170070.2484639918,961346.3918164939,1772035.259356661,1062989.6721227996,5697205.059372249,448805.4500745006,55296.17593589484,229473.62777037997,103929.21111209023,,131782.9153526693,20536.947049370425,65555.36798627523,17989677.10832994,0.1005856621817297,1809503.5843768714
2026-02-03,15574467.575550789,9122.640650899943,345951.0889100233,465481.20005744486,66071.300183508,1627652.0889129986,1335872.4467220695,245258.724749737,202954.01606740797,345345.9276217156,2674600.4993539965,10409725.230028685,257697.52877459986,161351.63988588454,132192.85651438002,48869.07326576945,,154443.80997397576,89593.5039511403,42553.26165449733,34189204.412829526,0.1047682015649799,3581941.459269624
2026-02-04,687668.845174699,11636.995372663798,148968.55429317584,416969.26539538155,46501.03051799052,472582.1297629377,1110225.2076889463,172150.40151488993,64947.344903895486,1113406.7450632758,402004.7044260001,1877986.4308956068,50678.67146159998,36869.10932993979,48282.73366644002,15859.825580162244,,159643.78069260734,74424.84564143389,21855.716585490616,6932662.337967137,0.1059306999611753,734381.7740553368
2026-02-05,16444443.132218583,20044.553439515974,518745.3516678131,888554.4330314952,61622.43946137082,833586.8611155074,4682732.354548235,637900.2641946994,200926.69833271572,477914.9458897404,553590.9485824005,12193137.558171457,318071.1244038002,29723.022799092338,118320.81818218993,56273.216504101634,,441102.4036039819,71128.8978517057,94230.23929843494,38642049.263296835,0.1030446242894654,3981855.4481114354
2026-02-06,3005504.961426007,27854.105909904712,612545.9060076739,1604042.2434458386,68435.15305038237,1480356.1183041795,6589272.955433918,756308.1474018261,209163.43059961777,755079.2130211958,795177.1191965992,10949450.29882689,242902.22479900002,38561.71491137494,192275.80294229943,51786.33725314301,,274316.97263849946,36305.981520310655,70313.04707566087,27759651.733764317,0.0886395246533515,2460602.334223454
2026-02-07,3104619.3974250057,4806.658145108811,130332.1817060487,300394.196251836,22983.89601257398,170475.35615020277,1011782.6782348887,39514.367849431,42370.04719982552,192860.09502900272,147250.4701292999,3267518.8260073583,49439.62514080002,13967.91036119411,60230.73750644994,8375.025385297407,,67541.68302310146,18526.4928938287,10948.413905884197,8663938.058357138,0.0988376112706502,856322.9418848947
2026-02-08,685665.3157229994,8988.71103588033,126475.98084469214,551546.2909003383,84906.89600255407,230316.24903213163,931500.9042968381,415179.69254435675,56963.97687064499,71091.03640096323,91571.114873,2409416.2126514814,62185.945380000034,15639.287785372488,50058.45409125004,19686.789109513596,,27914.730894744753,20799.673762354127,8638.756882287402,5868546.019081403,0.0977065247581638,573395.2369078007
2026-02-09,1030593.3107970012,12628.35529391974,121575.29227281932,1060150.4625715183,35331.145639306495,195453.5539097092,491316.88135647017,376707.31836483616,71879.73815842404,79063.66241890275,60612.071211199924,934302.5534374273,85819.34918699999,21772.721607638126,26608.06279999999,16931.7229984805,,43783.941932485606,13518.592024765374,10429.4444934102,4688478.180475314,0.0969637581360893,454612.4643179404
2026-02-10,760755.4507144006,3893.7201903782207,112586.74524212962,514788.1929390076,19907.112829420123,752453.8810226126,1244807.1615996098,177648.00901894408,63401.76633663968,97909.3528604232,90156.10569559992,1420875.1508380705,50682.151213199984,57540.07388082348,159243.5563806999,197303.33501725423,,52576.95070271088,4621.270090284645,9158.949028908002,5790308.935601118,0.0959602023095534,555639.2168950981
