dt,xalgo,hog,folks,ora,vote,talgo,alpha,hay,gobtc,tiny,opul,pow,iga,mit,wbtc,goeth,coop,mist,silver,finite
2025-11-01,2552633.4937950005,3407.6758870000012,0.0,13466.460597250212,312920.8271960001,3438210.4119859994,469387.47766700014,646180.0387249999,0.42561870999999996,4604197.406617,5913590.973635846,445066.6419699999,19.769451999999994,2031.3209999999997,0.04303115,7.949899739999983,99647.72551699998,0.005403831,1456.601403,150784.24016835
2025-11-02,2195742.566388999,5084.6127350000015,0.10000300000000001,55153.51022056995,434486.67560699995,747363.9306909998,489019.1896879999,345682.85256599996,0.34121325000000025,2405305.4765589996,11251346.46027641,980880.723386,16.496018999999993,1184.082,0.01954197,49.338931419999994,323654.73416200007,0.0035600480000000006,3346.606367,137499.15652549002
2025-11-03,10942725.738080991,41699.211992000164,0.0,722059.6894931346,1271333.1485070004,3245678.568638999,6423104.834125001,2002812.5616710002,2.4728979500000015,45716650.31817699,3209485.3047583844,8454847.228307003,69.78522099999999,11591.464000000005,2.6230772599999996,46.21343057,678827.701682,0.26486346100000024,20335.33546999998,752405.0492221001
2025-11-04,7891272.447155,30271.839373000017,1.0000609999999999,198841.85576747838,1646801.7539439984,5063363.611282006,9584416.838916007,1404288.7332580006,1.4281029400000007,8771626.744516002,2866188.720760968,2911926.731142,31.859749000000008,18189.370999999992,0.8613386999999997,10.843894139999998,539922.1531810003,0.020265586999999998,16810.141581999997,809859.6213569703
2025-11-05,5129968.251573,34951.20184199995,100006.10005000001,264767.08196713123,617328.5616370001,5086057.811800999,4594201.942541998,1428216.4253959998,0.7096589599999992,26863239.170292977,2839500.549220079,2711410.760100002,20.719731,4998.821,0.33015641,1.96317647,307218.44739299995,0.011199235,3891.374607,585687.3556001799
2025-11-06,17383060.792112987,126424.23177800006,294246.1599630006,838891.8069035052,5575069.290224,5499270.199051996,3348258.8690990014,5772019.108712998,0.6881662099999999,22710481.598648988,3665223.265724537,5677346.903076,26.200844,12844.272999999997,0.28054009999999996,1.0584926199999998,237117.44938199996,0.028861919,3884.9658569999997,820672.9850989901
2025-11-07,13633133.906882016,56232.389219000026,183577.4792269992,123291.6518082603,4023935.908270999,7472035.6792109925,3640837.419943,5271466.831125998,1.2195250800000015,14488768.455696993,3097467.4475850346,8562107.760289,16.057039000000003,71922.15499999998,0.42014713999999986,5.82299694,606879.4253930002,0.137397694,8327.499114,830841.6256655501
2025-11-08,6853911.54566,141882.7228089993,180786.02067399985,91343.56939187016,2652130.92644,2200726.917974,5962623.622693004,6394887.537364999,1.1503152799999998,14446498.988767002,1022645.0598186664,3771909.8798970007,23.556285,50647.152,0.07193353000000001,2.2083767400000007,218475.43970800005,0.09702993300000001,2509.6729380000006,293938.77237857005
2025-11-09,10178462.726038,64117.104377999865,64204.304140999964,48579.708339700155,1238579.0606850004,1412489.8089690001,3344537.705100999,535682.4742840002,0.6821186899999997,14548548.246415006,479935.2888205582,4602899.537436999,10.089737,44703.020000000004,0.14102629,42.582287090000015,146708.795171,0.07858721899999999,28040.528534,214140.84938659996
2025-11-10,3458053.343871,32923.95409100001,32477.509865000007,44395.65434520014,1060407.0715219998,1977388.119231,7630993.323692003,6806770.306889,0.8710279899999998,68401166.77472503,1562718.756472736,8911126.971006,54.738215999999994,45301.102000000006,0.09744797000000002,3.1994164299999994,377922.34635700006,0.078174089,6654.819326000002,377664.0945963499
2025-11-11,5458165.291783987,9857.16809800001,21680.695775000004,21565.750089510035,819989.8441120002,1986589.1922620006,5456214.927226,431154.46966999996,0.4967038599999998,13288873.798878,718991.4557636158,15161698.644543,5.989893,41656.703,0.050960410000000005,2.499702800000001,310618.4093949999,0.086318513,3000.0147510000006,137467.32764883002
2025-11-12,3087690.942786002,30734.341937999998,17050.04891299999,21071.581464690094,1173482.316305,1243628.4899649993,6401474.478421998,8890900.202995995,0.38084568000000024,2274848.7356919996,1461785.8248907267,10275974.95903,5.8743479999999995,43285.081999999995,0.13581655,1.7538244699999999,404368.5223600001,0.09436401499999998,10764.506384000006,151619.96998285994
2025-11-13,4221079.322563002,30425.21929500001,42946.317074000035,160043.3384573196,1330404.6202439996,3071511.0338669913,8923296.650608996,20364698.99797599,0.48251016999999996,11939768.212496998,454089.5095920435,4693599.583562998,27.79526899999999,41362.606,0.18939237999999997,3.4983063800000007,322591.50383899995,0.07370630099999997,5777.003974000002,309610.4111660201
2025-11-14,3387865.393022001,26463.227850999996,27934.816802,135338.33710112012,1247089.0636810004,4173602.564032999,10419450.758911999,7708361.912897004,1.3583533399999985,8787240.059106998,821299.4121425209,4839198.622527997,16.575314999999996,41144.53400000001,0.1882515,1.4996163400000007,435591.66937499994,0.07690216200000001,6350.712605000001,311479.52162833005
2025-11-15,5040301.352588002,8159.330097999997,15585.047479999997,20815.656532359873,521247.86518999987,1099098.9720609998,19475401.698003996,1386382.8573190004,0.2280034300000001,2550203.486373,2591635.2653897675,1900284.4650360004,6.626975,38303.742999999995,0.06101384,51.04398220000001,144343.69929,0.07070228499999999,1595.7705299999996,147031.12768679002
