date,algo_vol,price,usd_vol
2025-03-01,80356697.28573163,0.2380452289435811,19128528.402532026
2025-03-02,205956199.2254744,0.252967373728777,52100198.821229026
2025-03-03,148699523.1105901,0.2905563149587919,43205585.47114278
2025-03-04,148375902.18384552,0.2388551771084575,35440352.39474959
2025-03-05,91402880.16843164,0.2392262523167398,21865968.47364996
2025-03-06,86924321.97495076,0.2501383429011206,21743105.856617644
2025-03-07,93319281.41688992,0.2414671891878879,22533544.58076991
2025-03-08,95879325.20536608,0.2333489576236486,22373340.594330993
2025-03-09,142485560.95448443,0.2244415152259664,31979675.19844628
2025-03-10,257908676.7408456,0.2012870056918733,51913665.2831181
2025-03-11,169853381.26766846,0.1844927160813876,31336711.645679634
2025-03-12,132332801.2666006,0.1910642602042076,25284068.77475347
2025-03-13,109257621.4898424,0.1955390286916236,21364129.183280844
2025-03-14,97066101.79665428,0.1954845940622412,18974927.506923143
2025-03-15,70629728.67999588,0.1988370639677983,14043807.879572578
2025-03-16,97181034.90939796,0.2000465101855899,19440726.889849044
2025-03-17,105097567.80570756,0.1865195802079507,19602754.22799721
2025-03-18,134089726.53871427,0.1912581908210725,25645758.505486846
2025-03-19,120352007.9518179,0.1867098363931291,22470903.714268494
2025-03-20,96609443.2318116,0.1998171394978688,19304222.595062334
2025-03-21,91714336.417428,0.1953308920717818,17914643.148187716
2025-03-22,44331487.1389609,0.1872480963997738,8300986.577341483
2025-03-23,39307543.49962714,0.187777324304315,7381065.343335455
2025-03-24,113449785.91120642,0.191663830506318,21744220.53786353
2025-03-25,75496484.94362696,0.2033165437969895,15349684.387559688
2025-03-26,71732413.83048105,0.2113817466044189,15162922.92363806
2025-03-27,99619960.36306033,0.2069023477213701,20611603.679027013
2025-03-28,118405234.07525992,0.2121676344913899,25121758.425147213
2025-03-29,75025786.7870231,0.1996142990797829,14976219.842400853
2025-03-30,76511922.33139433,0.1837661991258261,14060305.15465075
2025-03-31,1042789306.2938614,0.1793993764029707,187075751.26880515
