date,usdc,usdt,eurs,xusd,algo_vol,price,usd_vol
2025-03-01,16818494.55814114,11880.2278706598,21875.254950964794,80021.67624192845,16932271.717204686,0.2380452289435811,4030646.4974569124
2025-03-02,47757264.891329646,50584.6164470568,59921.1984790407,236845.7081346703,48104616.414390415,0.252967373728777,12168898.47857856
2025-03-03,73828874.20180759,91755.7393566402,79642.1102430888,158850.49571434525,74159122.54712166,0.2905563149587919,21547401.367869128
2025-03-04,104801193.9036017,45296.17571009521,25430.846832527404,102911.62120655118,104974832.54735088,0.2388551771084575,25073782.220028162
2025-03-05,52035407.5886103,28946.971321894845,24437.969380985498,114699.42426482,52203491.953577995,0.2392262523167398,12488445.737901546
2025-03-06,96838166.86639796,42686.85787259399,50002.586058740584,77623.02690724343,97008479.33723654,0.2501383429011206,24265540.268773943
2025-03-07,94796300.19899873,24349.364249527207,18484.5867099894,55948.03307864399,94895082.1830369,0.2414671891878879,22914048.76249154
2025-03-08,20557093.0134427,5355.1859346468,4830.7917178386,80005.62744259517,20647284.61853778,0.2333489576236486,4818022.343494584
2025-03-09,64985020.696637586,35804.23505180481,66306.3740697051,154821.94115765346,65241953.24691675,0.2244415152259664,14643002.843039652
2025-03-10,87220918.98281428,77744.7210517824,61837.31577805331,382552.05852951633,87743053.07817362,0.2012870056918733,17661536.424368676
2025-03-11,638268443.7985222,96635.60299329442,45529.634055261595,158564.23117427758,638569173.266745,0.1844927160813876,117811361.18182798
2025-03-12,146803769.37438166,573132.0697228927,228639.75659494218,77070.03728855905,147682611.23798805,0.1910642602042076,28216868.861211784
2025-03-13,85670834.07337892,129807.11613924276,156009.89236854445,76580.26493177071,86033231.34681848,0.1955390286916236,16822854.492758628
2025-03-14,84459007.37992226,24243.417646714803,5975.086497108399,77544.38458554688,84566770.26865163,0.1954845940622412,16531500.757122172
2025-03-15,28855613.554885592,17963.1073460144,5251.5068801336,66674.1045560232,28945502.273667764,0.1988370639677983,5755438.687169328
2025-03-16,28143198.61730539,67867.47050969065,11168.441230783199,58921.57456167501,28281156.103607535,0.2000465101855899,5657546.582540583
2025-03-17,93481047.008614,25576.6397722752,28181.39584959099,51966.703446134365,93586771.747682,0.1865195802079507,17455765.37939495
2025-03-18,103624472.45535414,32927.2980253392,12114.251754294597,103495.04141336874,103773009.04654714,0.1912581908210725,19847437.966301396
2025-03-19,70113097.65979546,37414.851334761996,8317.9645973874,65810.17121357769,70224640.6469412,0.1867098363931291,13111631.165956676
2025-03-20,73956120.02245389,149870.1384306807,33117.42378526401,78097.55941004162,74217205.14407988,0.1998171394978688,14829869.633416556
2025-03-21,226783305.81105122,52379.1200820278,3435.8466939263994,54602.46650936251,226893723.24433655,0.1953308920717818,44319353.366804235
2025-03-22,16116285.357491786,2700.6616210004,21148.959925437794,181545.8985045747,16321680.877542797,0.1872480963997738,3056203.6743644783
2025-03-23,26838841.037761785,3299.4957469165,5598.428325798,40330.89916645441,26888069.861000955,0.187777324304315,5048969.814206255
2025-03-24,94828087.26236218,5791738.7466973215,16427.2343554764,328771.46241268155,100965024.70582767,0.191663830506318,19351343.382283963
2025-03-25,52455108.810647935,27391.70711107601,6158.171158712498,146649.12037828923,52635307.80929601,0.2033165437969895,10701628.865476755
2025-03-26,60959513.77042936,11154.446798250401,21230.157633978,65763.59274944996,61057661.96761103,0.2113817466044189,12906475.23029582
2025-03-27,91531935.54028198,13318.979770981197,4076.642955233801,39611.195169174,91588942.35817738,0.2069023477213701,18949967.199224137
2025-03-28,65367843.23077901,8409.483940800497,18379.171227674506,63404.11977783601,65458036.00572532,0.2121676344913899,13888076.65778697
2025-03-29,41802948.95689354,11087.282749193706,35027.977147554906,76285.71519103745,41925349.931981325,0.1996142990797829,8368899.340347076
2025-03-30,26229556.914765123,24027.414664739492,6737.0169308173,124526.27254006756,26384847.618900746,0.1837661991258261,4848643.161439493
2025-03-31,125664797.35272488,27159.865073031,31380.3428144804,146856.37233832577,125870193.9329507,0.1793993764029707,22581034.299292345
