dt,usdc,usdt,eurs,xusd
2025-05-01,22453961.25267704,2337.4861069999997,2148.0535079999995,236825.57606199995
2025-05-02,47431032.73833405,1862.9753729999995,1280.257145,40857.224863
2025-05-03,6133989.221455004,2123.577872,3153.8058370000003,43176.758946000016
2025-05-04,5482810.155803995,2133.917987,723.426411,29478.95129500001
2025-05-05,7304247.542585989,3160.4423610000003,2412.7477900000004,46935.822653000025
2025-05-06,15289717.931061026,3029.5118379999994,1521.2500890000003,41303.532271
2025-05-07,18038535.831942007,751.6167640000001,943.5390600000001,3381.0501510000013
2025-05-08,17179889.455487967,4187.498062,11547.697150000002,74874.03616599995
2025-05-09,108013993.20947513,3245.2745280000013,2358.1958520000003,51866.873960000004
2025-05-10,5112603.096657997,13360.157623000006,3258.4693700000003,61039.22615399996
2025-05-11,12469123.99988499,4601.907934000001,4197.325422000001,20755.236234999997
2025-05-12,14538837.396190003,5939.684093000003,4341.629259999999,63869.961906000004
2025-05-13,13814157.440082975,6438.606269000002,1424.441469,21933.06226500001
2025-05-14,13383579.64279999,2206.7824950000004,1581.340987,13612.746553000004
2025-05-15,10548288.520794984,6509.5841089999985,3521.4143230000004,76719.47501500009
2025-05-16,7070257.075441995,1102.748578,1303.3128639999998,19738.392863999994
2025-05-17,3783240.929609997,7999.560677000001,4402.220598999999,15543.027599000001
2025-05-18,4589131.448039998,8937.153358999996,2645.4865990000003,14747.497457999993
2025-05-19,13205082.009553004,4797.4830319999965,5468.8490139999985,10228.359805999995
2025-05-20,11785749.463624014,2888.8857439999997,683.8896409999998,29104.553840999994
2025-05-21,12034960.734507991,1878.349057,1576.1827640000001,15220.845036999996
2025-05-22,18873148.24561301,11049.799206999995,1955.7444229999996,58493.90508000008
2025-05-23,16244559.954509005,6557.563492,1677.936983,12433.556322999993
2025-05-24,123041509.64220993,2033.7304910000003,5129.119122000002,43090.88817599999
2025-05-25,8430521.525036996,2463.58508,24574.63505600004,23401.75103499999
2025-05-26,306289858.92961496,4387.330181,1560.71788,19000.105110000004
2025-05-27,112274313.0842331,1845.486105,678.637512,11269.020325
2025-05-28,24606052.765760988,2283.363158,1491.2882300000006,20774.316217
2025-05-29,20212395.87446096,1422.8462889999996,1123.9332459999998,31334.88578999996
2025-05-30,13107057.130770015,5617.593117999998,2601.599879999999,28421.276684000008
2025-05-31,11297226.165975006,2080.141996,2001.3781830000003,79602.31735299999
