date,hafn,afnusd_close,hafn_vol_usd
2026-01-01,114659917.14,,
2026-01-02,19742193.77,0.015324674546718597,302542.69436350546
2026-01-03,113547466.13,0.015324674546718597,1740077.964046803
2026-01-04,197585941.11,0.015324674546718597,3027940.242517857
2026-01-05,289809423.74,0.01531748566776514,4439151.694520725
2026-01-06,357666429.88000005,0.015384615398943424,5502560.464816967
2026-01-07,241134488.01000005,0.015625,3767726.375156251
2026-01-08,259053873.84,0.015625,4047716.77875
2026-01-09,33668664.940000005,0.015625,526072.8896875001
2026-01-10,244794567.83,0.015625,3824915.12234375
2026-01-11,246107642.01999995,0.015625,3845431.9065624992
2026-01-12,407888146.7599999,0.015625,6373252.293124998
2026-01-13,164017435.39000002,0.01587301678955555,2603451.505725313
2026-01-14,185578610.08,0.015625,2899665.7825
2026-01-15,311683483.59,0.015625,4870054.43109375
2026-01-16,23436753.390000004,0.01587301678955555,372011.980052143
2026-01-17,136230005.62999997,0.01587301678955555,2162381.1666062367
2026-01-18,199008359.57999992,0.01587301678955555,3158863.032875247
2026-01-19,187342220.92,0.01587301678955555,2973686.2180557847
2026-01-20,214702056.98,0.01587301678955555,3407969.355195652
2026-01-21,128755179.1,0.015625,2011799.6734375
2026-01-22,122579043.97999991,0.015625,1915297.5621874987
2026-01-23,14405976.859999998,0.015625,225093.38843749996
2026-01-24,58541317.489999995,0.015625,914708.0857812499
2026-01-25,164663144.97,0.015625,2572861.64015625
2026-01-26,206387802.74999988,0.015625,3224809.417968748
2026-01-27,52059773.370000005,0.015625,813433.9589062501
2026-01-28,86925239.55999997,0.015625,1358206.8681249996
2026-01-29,213582349.68999997,0.015625,3337224.2139062495
2026-01-30,12517780.849999998,0.01587301678955555,198694.9456000269
2026-01-31,81751171.88,0.01587301678955555,1297637.7238170814
