date,gobtc,ora,vote,hog,folks,alpha,silver,talgo,wbtc,hay,tiny,goeth,coop,xalgo,nugget,pow,gonna,compx,gold,nova,algo_vol,price,usd_vol
2026-01-01,547073.9234549999,5238.6691898196605,154075.1242983523,63068.99094216362,1837725.7193042554,206269.5013642238,164710.98640395608,1633806.4483942965,52020.566485899995,285148.9256855707,112663.39137541536,82126.76857901,203709.20698219902,12586843.891518846,4163.14961376,14965.501038116292,10847.185315942103,51901.322406287305,62601.4496258,6177.614528946901,18085138.33650786,0.1101829878224683,1992674.5770991002
2026-01-02,355761.7831229001,6928.1838382825645,118212.67015659083,44769.17985128079,845497.9284686195,709405.7380529724,116610.59493346898,690966.9652920516,38414.14088909993,47540.001813487586,197126.27510741938,30268.394140590004,97529.35140767046,5007329.676192533,15852.718635000001,9653.550154232293,1179.4258174572578,66845.27343918015,30686.7684552,4012.256330090415,8434590.876098126,0.1202693419895405,1014422.6946193036
2026-01-03,394335.82889999973,4142.665977996275,85328.87633284407,54922.324436122515,516345.11775580497,350679.4927793964,33392.533089786004,881473.5308592067,23203.625573399997,60417.055260477115,43096.67485497641,43290.366340300025,6278.119696983908,4612500.775434896,577451.2202457599,39523.32566173846,2317.3570293527805,20330.83902889454,11833.620218400003,3222.70086472562,7764086.050341062,0.1275429309406371,990254.2909358139
2026-01-04,486107.1982928005,11959.197276280918,158940.57076734665,63799.43329560714,1018188.1268037386,207675.75475515064,324103.67250818684,837276.8861310675,40839.766333199936,622059.1234043266,267416.9569296349,46270.393590720014,45653.574808207224,3161957.319247314,1365.7410927600001,20058.917601118083,1284.8244526209369,5620.699547750197,159096.62213119998,5433.3581116989535,7485108.137080729,0.1280351315908713,958356.8053030326
2026-01-05,511224.139179,4559.300530116888,155306.32756051156,32772.839523817114,767482.9874464502,126943.46842384237,388946.1665881799,648308.3561688641,52051.2577398,174798.79197688765,1042164.4561185681,104844.23402068001,6840.621418308396,4351125.437195428,2972.61601804,48227.260516516726,1066.0161547660991,14285.333560518782,134912.1207332,2362.4513396761827,8571194.182213172,0.1356045164382543,1162292.6423773959
2026-01-06,433747.73204880016,7235.326055389762,213620.7434280049,35650.35581431952,757573.0705092029,1886082.6067573258,464044.9641385459,1742076.21673887,30203.965792000003,295197.4041213115,86498.66109727517,137677.25290318992,20138.89487238445,13456667.248996178,2004.37589886,19291.692558282168,806.0860048116785,19586.539509053848,461863.034262,8259.959178303912,20078226.13068411,0.1399022374518261,2808988.759746428
2026-01-07,164197.95667459993,3715.9841188524883,132698.0917127361,20802.672328899997,791422.2661964318,1048898.1392195479,43519.75615514998,2271177.841258844,14395.814319299934,66717.89458471241,78042.70622522582,48297.286691639994,48711.50808527985,7922043.603025788,2097.05656788,14780.572607015423,850.9943499840809,3570.981595416784,40741.76522499999,7273.029623147376,12723955.920565452,0.1423655520405332,1811453.0087707113
2026-01-08,156303.249858,2930.2810812679663,96777.23506570801,39871.9062545152,864458.6111372949,373670.75854078523,102242.66158721996,2049274.1806666148,12500.181739499933,23739.496472134502,141936.4510366703,11145.368855390003,11904.00366836889,3505369.7471982734,3845.8048358799997,25381.70444263294,855.5180935862143,14882.111694018427,17984.63595420001,13062.569982355044,7468136.478164417,0.1363493824766219,1018275.7970488521
2026-01-09,257087.2524033,6554.647740037358,166206.72941813787,20091.260764212515,609397.2926217898,106228.06591950163,42089.55187872,513168.68852361204,13879.0178012,136575.3980468808,66656.54379879653,11223.379630200003,3425.1794056747945,970629.4888784257,2541.2206112,11917.938660001973,1383.2091150989152,15272.395418357999,8808.085649300003,3012.4638673423906,2966147.8101517907,0.1344039548498763,398661.99635370076
2026-01-10,279817.62774599984,8939.084770837322,148681.35357843706,18103.321931375594,588074.9758359122,221761.43663773185,36999.66312414903,1314810.8501471477,14375.8372698,76180.47230044207,50839.97842139365,7694.640974180001,9783.800702103164,2385123.3096502577,6142.2120046,18330.696729157396,1531.3588697037242,1682.0995310936685,13550.094072,2073.695293980329,5204496.509590302,0.1331924764324161,693199.7786961981
2026-01-11,218039.79102069992,3156.2943072673293,74232.3560509375,12507.688815525,584430.77665806,151534.66756003848,94743.73578544597,853300.1516752188,34816.255007399996,75683.12584062133,68909.88736145866,25281.63913135999,4448.6255203940245,1294885.03653978,4800.08683875,10478.663859473263,993.6696345034915,2365.864021079114,25303.193054800002,1126.0301188705575,3541037.538801683,0.1338308344495135,473900.00863488077
2026-01-12,1005186.4068987,5405.265941124508,246503.1303499786,16154.809604269194,797556.2102375402,215736.8588907966,77297.03329605596,1724079.3472832227,572480.8883450003,157142.0424560767,76350.39020027105,84921.27440095998,10639.259994861382,3091218.8996688263,102892.3813879,18444.434655747515,2221.544535247957,2912.11800872256,34377.21009759999,2828.86240489397,8244348.368657795,0.1319731460877605,1088032.591655265
2026-01-13,375931.7172008,3520.000337486096,144509.30209777938,24178.731828587606,1162308.3626816531,107504.46513689043,482656.86154107994,601852.120876336,43478.31626580001,34062.366580247886,54761.90698246498,183097.13926099995,11888.816586975694,3502602.7846374866,44106.92762895,21938.319191842835,9232.925106713024,3451.0420540296814,508611.07492079976,3261.1314863446255,7322954.312403268,0.1289424992303236,944240.0307907533
2026-01-14,398514.34541680006,5137.095002774917,158931.97335936144,32974.514212566,1276378.412267574,342558.046548543,200376.26407798202,654202.0400812473,120491.69155499994,63731.16771792696,66981.80532863979,43765.46022270002,8108.052563576313,2032405.1205876893,17366.45608904,9625.60130196343,102606.48555689151,3021.215373321454,122926.32448459996,2349.7736315308566,5662451.845379728,0.1382471498788778,782817.8289501393
2026-01-15,397905.252343,16802.804838459808,119264.49031632899,31290.00907250719,763513.948146229,521448.6719403485,174895.32287834198,748256.15869025,52539.016028099926,524754.7799161125,130099.09261461438,41631.37034524,68921.06012898877,3067828.151368071,30978.45560511,16552.612938879,9986.00967810048,8887.123770691182,36266.92715039999,13844.406268583227,6775665.664038356,0.1366667200709269,926008.0026013211
2026-01-16,162184.8691947,3382.6531750802164,108603.36643983306,17036.2384476617,1081935.3868685018,281754.83221366804,103281.9632402039,1404172.3621165643,28172.9728467,278698.1282054356,45301.81372027003,34882.14180374999,37040.40669059604,4691287.318813301,51175.238124808,7289.055022416214,26975.891035282162,8267.72361233575,20454.559357400005,3303.3909584844673,8395200.31188699,0.1280309949236131,1074845.8485139185
2026-01-17,131992.5000625,4410.1230845338,125156.35176386824,40863.73021774682,599050.408680591,738594.301759218,93711.66842082,1080505.0140892,23137.348234699926,90286.43487270284,37689.696398696266,20215.9421718,10821.055989709872,4428765.388227035,47846.4435792,29269.687000156202,4986.802472011289,3947.151298645,24642.753637500005,4202.436027341813,7540095.237987976,0.130329902492318,982699.8771497641
2026-01-18,1048495.699556201,2979.2567927137297,103021.90417159663,41515.53565089003,670615.8136095961,479773.16410479014,269395.7188360044,434066.18275986856,35574.6430968,147194.2705343569,50929.650785626385,309675.90289467986,83831.05170087966,3235107.8375339014,20018.9304484428,6027.849255521821,8758.638402422719,8541.202079462426,52159.5118967,21394.017069041693,7029076.781179497,0.131274525522456,922738.7193102507
2026-01-19,3965353.8933363007,13473.708611322792,254100.4918220101,91671.38192926922,1310223.6846873988,1276028.476605142,532435.876538055,1594055.7107593245,1308244.3625132,63852.07212658512,119743.00733889696,80271.83988899,52581.06142498061,2955846.37111352,21465.068960352,48426.13702349816,30070.574828642715,11385.277307300286,116845.6270454,10076.473762059471,13856151.097622247,0.1234665872846482,1710771.6889238511
2026-01-20,3255494.3979534036,7489.05693306061,149770.00655435649,30589.087066373893,1106268.761123899,1722242.7714972917,501894.9500300901,935411.1839152786,74671.1722293,23467.25078163168,50727.63633086238,251690.28940737,26855.918209165855,2365152.3607479683,15854.704958048,4776.493066509933,8706.003186752447,4684.2434878666045,124787.56751579998,6979.289373108605,10667513.14436814,0.1210256197108034,1291042.3890702953
2026-01-21,1989345.6451527986,5464.259333292221,325975.1191066992,50442.94127316048,933386.5321316648,158521.3889888158,357178.9819420679,5430571.106379253,128745.78079769999,131916.50621967134,144447.25653069123,149862.77450952004,43212.95178445959,5993772.742388039,5390.20526226,10958.040241258763,27793.359058813097,3407.3374681365744,205847.56045049996,7378.039044782578,16103618.528063582,0.1142780596502531,1840290.278734971
2026-01-22,5787311.274772703,3151.1675087349054,103296.394482744,68230.64205494455,540401.1263465312,768558.4565567567,504125.327583432,250539.86501754413,31545.453534,35276.279059349494,74635.39616697455,30268.54075360001,47225.570618161786,11987194.560396452,111878.376379466,29243.216710424047,47141.56599092672,7815.88191055109,140415.35337919995,20533.335295129462,20588787.784517627,0.1175256701719205,2419711.0824028845
2026-01-23,248894.37071189997,3486.2026066774297,119780.38590128282,105555.3131539615,807167.2028678157,963349.3460184733,216571.94887263596,904637.0434487081,76132.55444999992,141142.1638438968,143247.94560582732,38327.18924856,15483.446404270899,5881453.189194062,64224.227472858,24748.987401664734,28927.010000119757,11078.4704595726,231582.62442450013,5119.262325179993,10030908.884411966,0.1184096568267104,1187756.4786632215
2026-01-24,1360799.4070685997,17328.204014081748,84435.2281693018,33283.02124223418,410597.771425364,445389.54498349596,885495.1446238798,257024.08716021717,102322.21611659999,169881.7741074918,45978.8519998104,70088.80921149997,29368.43697636605,805741.7485084439,46395.706540950996,11086.493999609433,3535.228915536078,5235.851674027974,608021.9010333001,6020.364097090745,5398029.791867901,0.1199641576582836,647570.0969957527
2026-01-25,1354752.6573393003,39680.86233025859,206278.5103377852,82957.2773693411,702174.5331047465,598775.4564417981,690329.0765958856,1296690.1908977435,75144.74548700001,502406.50077594095,68140.98911321585,178085.98778868,210258.12787992705,9506463.348529488,47399.184751572,22192.026850493537,62353.47186076758,6012.409285177935,602421.1995810003,2928.4266060326086,16255444.982926156,0.1183137822126814,1923243.1774801498
2026-01-26,2377481.0654756,8115.439648149082,160898.2672584222,85750.41811728904,1064316.1148966406,1203502.959619088,672674.8231051257,1498906.2216211834,129654.90279499999,189291.69791386765,57443.527759904784,82391.63615725,23469.166576544103,4518235.01728253,496987.49151039997,13748.541200468351,59706.79419087254,6965.176653777302,253217.57361119994,8453.46420917901,12911210.299602492,0.1145674859503374,1479204.90460156
2026-01-27,3450774.9486297,7960.487229087624,83611.29689440892,58011.37301427199,629965.6228010642,1932541.0503170611,762399.8728591055,480475.75591962406,78839.70705350001,304059.55884064984,47290.591573654405,37497.892611300005,24206.065287460442,1862868.2096190266,78572.343184368,4058.801811676332,42982.951471887805,5817.970394242121,310641.5148144001,8885.844958457044,10211461.859284947,0.1222313768154235,1248161.0423585833
