date,xalgo,hog,folks,ora,vote,talgo,alpha,hay,gobtc,tiny,opul,pow,iga,mit,wbtc,goeth,coop,mist,silver,finite,algo_vol,price,usd_vol
2025-11-01,3011086.4692805824,38816.836028817015,,4213.924850091536,47013.225077927054,3617684.995491668,29290.247993898476,120460.88281911447,259852.99101629993,166450.94464401776,660488.9758453876,6895.862550683179,44499.05950679998,806.6781955199998,26489.115317,170310.70213001964,6426.281818591329,1179.27803913,12849.846256985398,8500.009186770225,8233316.326049304,0.1770893711067068,1458032.810302653
2025-11-02,2590537.0798257412,57461.20851823502,,16939.849129145856,65394.58954560955,786525.8006592082,30452.20298025113,64386.888118943156,210337.49583000012,84710.04827345484,1250474.6455951203,15155.588057037086,35647.89705899999,471.15806862000005,12138.1038261,1075490.02709316,20314.5130444121,778.72489952,29650.5977509833,7760.03989682908,6354626.45817137,0.178901537435473,1136852.4431949926
2025-11-03,12911322.09836176,477664.4733683618,,225658.09416039445,198366.11116154728,3416401.2613494103,422743.06776277104,350291.9170362579,1640124.836358001,1636153.1982372364,350893.0283692342,133070.8405263239,132864.08226189998,4821.701280080001,1751428.6865019999,1037306.66257422,44112.939366103084,59769.08860926004,198212.5818931838,44127.80373182695,25035332.472909868,0.1784631270992717,4467883.721085438
2025-11-04,9312490.614887614,340860.9113399802,,61396.399805324305,258202.04700087954,5329696.53723544,703841.234982636,253825.1885363836,930351.9412924005,296059.9458809041,316226.6015615576,46052.12125301072,61871.63255800001,7513.483478969996,564418.0233359998,228079.62544661996,35502.0412602635,4523.076362529978,164665.42288063918,48231.99960953572,18963808.848708693,0.1599800026045209,3033830.189008053
2025-11-05,6054388.530506454,387538.92602409545,,80076.15627013917,95963.72490647166,5355110.270045271,358784.2007028173,254750.9637978845,453493.3652087995,843183.3510771559,278296.6093285107,43249.71303435513,41383.5187263,2004.2772799499999,212056.16057890002,41375.90728172,19699.154065286548,2443.0011229,36184.725058110904,34731.260187090666,14594713.815202212,0.1545743565931627,2255968.4976462247
2025-11-06,20518964.95901017,1288515.7702813765,7810175.823897925,250182.70357283237,845682.2606340785,5789631.6655619405,248504.42500565876,938530.3070767334,439056.92364209995,667551.8961106883,392362.1505958117,89367.11760131932,49923.0881576,5183.948582799999,179632.63143099993,22120.378772759996,15216.300961741703,6279.19909764,37895.122458935104,49038.49355160506,39643815.16600471,0.1619940611501581,6422062.618227332
2025-11-07,16095277.89046491,546151.4570506159,4742540.598350297,36521.453098642865,603992.779831477,7868053.5702091735,253202.03836993594,818184.3668590661,688604.836422001,431287.17062073236,328362.52411848947,126779.12960659924,30018.634410500006,27761.232608449995,238483.9196067999,109140.43164642001,36682.8268678799,30107.956686219997,70787.90621855701,46695.79188728092,33128636.514934048,0.157368278925698,5213396.5115102045
2025-11-08,8092413.361960763,1422090.5307145999,6429474.039250131,27540.08617164885,397554.425873356,2317805.5900102165,451978.79584737506,1013973.3679245942,660062.4108167998,426373.9711544693,106876.63520164884,56348.56169578129,44328.217113,20042.59746096,41479.0314039,42060.743390040014,13317.388902840852,21860.8439049,22009.329731672406,16718.061617803553,21624307.9901465,0.1811229962722572,3916659.455489446
2025-11-09,12019746.633178275,626770.3421366998,2263137.5166661083,14756.572205267317,186319.44809884462,1487775.5157870473,255903.95796809785,84359.27605024436,396761.1572253998,426621.62877787364,48238.29587935431,66976.79116924577,19035.2978242,17723.406339399997,82240.8912764,845641.6393203103,8954.224604466814,17811.793186349976,244580.70608496162,12189.53956963343,19125544.63334818,0.1779276801224471,3402963.7876899606
2025-11-10,4084306.8044460383,296111.4583036359,1017617.8166000452,13191.28077558932,158711.1263946977,2082980.6447979354,565365.0333656932,1002296.9276894053,484927.41287269985,2332411.3858513488,152061.91131733605,126172.64678247395,104681.3642784,17216.6838151,54441.257399899994,59768.29832882998,22899.07081046335,16841.04399327,56617.87186174281,21120.109162111676,12669740.148846716,0.1779031987840259,2253987.300242231
