date,hafn,afnusd_close,hafn_vol_usd
2025-11-01,158945419.72,,
2025-11-02,255009899.09000033,,
2025-11-03,442664924.19,0.015230434946715832,6741979.33106869
2025-11-04,358664612.72999996,0.014705882407724857,5274479.618619556
2025-11-05,251768181.7700001,0.015384615398943424,3873356.6462227306
2025-11-06,241420908.2200001,0.015384615398943424,3714167.8222283204
2025-11-07,304297010.48,0.015384615398943424,4681492.473283057
2025-11-08,224261833.96,0.015384615398943424,3450182.0641363095
2025-11-09,233505469.23,0.015384615398943424,3592391.837653368
2025-11-10,306409791.47,0.015288600698113441,4684576.951777036
2025-11-11,248589334.5699997,0.015258745290338993,3793161.338098487
2025-11-12,285749243.98,0.015250427648425102,4357798.170909163
2025-11-13,411540838.7299999,0.015625,6430325.605156248
2025-11-14,21877692.78,0.015625,341838.9496875
2025-11-15,151870859.78,0.015625,2372982.1840625
2025-11-16,355337117.2899999,0.015625,5552142.4576562485
2025-11-17,165742884.44,0.015294698067009449,2534987.3742650384
2025-11-18,293881536.48999995,0.01587301678955555,4664786.562846151
2025-11-19,262244490.17000005,0.01587301678955555,4162611.195436846
2025-11-20,280640945.78,0.015384615398943424,4317553.016021034
2025-11-21,35363342.17,0.015260671265423298,539668.339703051
2025-11-22,123635703.9,0.015260671265423298,1886763.8338871133
2025-11-23,181580171.33,0.015260671265423298,2771035.3029863704
2025-11-24,368041332.9,0.015275935642421246,5622175.715131333
2025-11-25,106922137.43,0.015625,1670658.39734375
2025-11-26,278971661.33,0.01529435534030199,4266691.718255403
2025-11-27,202568015.74,0.015625,3165125.2459375
2025-11-28,50313188.16999998,0.015282709151506424,768921.8212871235
2025-11-29,143946226.64000002,0.015282709151506424,2199888.315195946
2025-11-30,266396616.19000003,0.015282709151506424,4071262.004177258
