date,algo_vol,price,usd_vol
2025-11-01,49803627.11494417,0.1770893711067068,8819693.004618393
2025-11-02,55940345.65185552,0.178901537435473,10007813.84178873
2025-11-03,134875582.83970848,0.1784631270992717,24070318.282911245
2025-11-04,127866100.68014412,0.1599800026045209,20456019.119839385
2025-11-05,102016493.5691702,0.1545743565931627,15769133.855345005
2025-11-06,100999350.60772336,0.1619940611501581,16361294.978473796
2025-11-07,175663859.12157077,0.157368278925698,27643919.179407865
2025-11-08,82188020.12605765,0.1811229962722572,14886140.46291614
2025-11-09,81446364.10428105,0.1779276801224471,14491562.619482879
2025-11-10,86687367.69377333,0.1779031987840259,15421960.006889302
2025-11-11,62649708.687385656,0.1888136511682357,11829120.24189162
2025-11-12,81245972.48184246,0.1775696037562669,14426815.14039333
2025-11-13,79984808.47648774,0.1718370303244504,13744351.959669583
2025-11-14,153178125.05355683,0.1682579188672168,25773432.537493754
2025-11-15,62492645.37240747,0.1611294814898035,10069407.545782184
2025-11-16,75908668.75081217,0.1635237295673739,12412868.620627176
2025-11-17,115013671.2233983,0.159397427406153,18332883.30954678
2025-11-18,83578905.32106844,0.1522569824456343,12725471.920295248
2025-11-19,73935662.61041616,0.1568045662851006,11593449.508627834
2025-11-20,121259891.80451667,0.1516600786147701,18390284.723891515
2025-11-21,172272029.90258142,0.14413074506537,24829696.02378276
2025-11-22,64165433.49272276,0.1368421238708534,8780534.198238173
2025-11-23,77633103.32695271,0.1356340624623294,10529693.185792375
2025-11-24,116103096.28032658,0.1437067345528734,16684796.837923592
2025-11-25,100798560.27816136,0.1436819910014499,14482937.830845887
2025-11-26,125766107.15624318,0.1462218246420419,18389749.66651244
2025-11-27,221149297.46779543,0.1462953620197629,32353116.533467367
2025-11-28,55556028.80008829,0.1443480561566615,8019404.765076247
2025-11-29,36403036.773293264,0.1436469400806715,5229184.8421277385
2025-11-30,59124400.37178117,0.1399680190905102,8275525.199952436
