dt,algo_vol
2025-02-01,144081426.828764
2025-02-02,189813310.86762342
2025-02-03,547949359.3224651
2025-02-04,282766372.8355694
2025-02-05,260708262.4854531
2025-02-06,122749685.62173964
2025-02-07,126453578.40693828
2025-02-08,72090976.78498949
2025-02-09,115432307.15793651
2025-02-10,148277841.26127043
2025-02-11,104000541.05917887
2025-02-12,159259934.37576577
2025-02-13,107598289.29385456
2025-02-14,188258845.5752408
2025-02-15,76715117.13113691
2025-02-16,93161086.1969547
2025-02-17,91743808.16404197
2025-02-18,131884249.55376895
2025-02-19,114423725.57589608
2025-02-20,98393127.5427261
2025-02-21,95234746.39444092
2025-02-22,62761351.736899056
2025-02-23,97427149.06223907
2025-02-24,250004412.2877751
2025-02-25,180154620.8212528
2025-02-26,105610620.41662727
2025-02-27,66244875.862565205
2025-02-28,134648286.4848344
