date,hafn,afnusd_close,hafn_vol_usd
2025-12-01,194863372.98999977,0.015325713902711868,2986420.3045621677
2025-12-02,248344960.2800002,0.015261271968483925,3790059.980835421
2025-12-03,381133124.3200001,0.015625,5955205.067500002
2025-12-04,210710182.01000017,0.01587301678955555,3344606.2567750383
2025-12-05,18261220.029999997,0.01587301678955555,289860.65213395806
2025-12-06,248998226.3399999,0.01587301678955555,3952353.0272643715
2025-12-07,240703873.21,0.01587301678955555,3820696.6207733806
2025-12-08,189705323.44,0.015330678783357143,2908311.3771515125
2025-12-09,252799746.1499999,0.015326602384448051,3874561.19213045
2025-12-10,248766366.74,0.015625,3886974.4803125
2025-12-11,292415886.1000002,0.015378041192889214,4496783.541901004
2025-12-12,19605487.300000004,0.015384615398943424,301622.8818193698
2025-12-13,134032653.38000004,0.015384615398943424,2062040.823151195
2025-12-14,254442428.91999996,0.015384615398943424,3914498.910107199
2025-12-15,237924214.78000024,0.015333550050854683,3648222.855639433
2025-12-16,387084250.7499999,0.015625,6048191.417968748
2025-12-17,448160751.8300001,0.015625,7002511.747343752
2025-12-18,234932044.02,0.015625,3670813.1878125
2025-12-19,112816664.27,0.015625,1762760.37921875
2025-12-20,89095382.14,0.015625,1392115.3459375
2025-12-21,309078017.21999997,0.015625,4829344.0190624995
2025-12-22,207596741.6,0.015287858434021473,3173709.596944936
2025-12-23,292403694.79,0.015384615398943424,4498518.385574187
2025-12-24,327834823.86,0.015625,5122419.1228125
2025-12-25,192332009.3400001,0.015625,3005187.6459375015
2025-12-26,32555105.139999997,0.015625,508673.51781249995
2025-12-27,148535701.49999994,0.015625,2320870.335937499
2025-12-28,247739153.36999995,0.015625,3870924.271406249
2025-12-29,216776569.3500002,0.01525986846536398,3307981.934653856
2025-12-30,361672442.15,0.015625,5651131.90859375
2025-12-31,215211177.51,0.015625,3362674.64859375
