dt,xalgo,hog,ora,vote,talgo,gobtc,hay,alpha,tiny,pow,opul,golddao,niko,silver,coop,iga,goeth,compx,fam,finite
2025-10-01,5278456.391811771,57660.40467299989,2171589.6854527555,697723.6796859999,1324982.9835780002,0.80995819,1756985.2196199999,1810936.330817,41024735.26505499,12178271.904568003,1233181.527989018,2976.4580269999988,63233689.10653201,3245.0824700000003,1017769.0737989999,19.186403999999996,0.5253617000000002,1928026.521060999,6531354.0,538783.9979438797
2025-10-02,3165000.503832007,9396.872280000003,123853.20266211018,444072.311991,3155565.0081839985,0.26058225999999995,2194316.067791,1401841.8940900005,12878604.510037003,2848582.6488370006,688600.1560408154,2503.3119580000002,56248645.470904,5069.079798999999,708582.516478001,33.222755,2.2111316899999998,4051369.926743999,4881496.0,459077.66037701996
2025-10-03,5316960.288980065,162740.63424100002,78938.47568269042,620878.5238510002,1007271.1013389998,0.7335921499999983,1355824.1727329998,1979467.8098519994,2969525.064931001,3122860.834553,1862281.5358084373,1645.913859,314711551.52830225,3796.1406539999984,249032.36813300004,18.570476,4.605701,1409941.1425430002,2809039.0,316409.79854612995
2025-10-04,4240540.763771036,9626.576760999977,121601.46005408038,712542.437522,1383933.7087630003,1.2131124399999997,959562.2348139999,839294.4360059999,3464518.432888999,1090201.5524950002,1008108.3992374077,2323.011826,102088629.413518,29353.535416,806317.4736800005,33.25545000000001,1.8031548400000006,670373.243408,905576.0,531005.8013228399
2025-10-05,4569995.084415634,15764.301440999996,88150.13309940012,548701.5177099999,1055320.508814,0.6236551200000003,2319184.776627001,3484395.1841269997,2300817.0807620003,1244277.878508,636256.9852147826,3121.7150990000014,617728219.8955783,10261.134492,428238.22053500003,75.83968699999997,1.5626761600000003,782782.9049590004,2678325.0,354081.98252492
2025-10-06,9735206.973261125,9290.061534999999,56326.841899480096,1354469.82241,1049501.3397009997,0.5001684,2067411.3634080002,9974921.636814995,3699976.300182,9733759.480188003,2922381.3848474375,3415.5311020000013,688063080.177136,4678.08661,421095.45992999995,165.52551600000015,1.3589208,886857.645116,3833120.0,241058.81479447
2025-10-07,23426581.499359947,4768.237857000003,119136.5549222504,1011464.573677,1137340.3410970003,1.0345049599999998,5258541.7302250005,6097415.784734,4733606.8533959985,43841962.149118006,4507084.715971053,3477.531613999999,198661435.16559002,2462.328408,339950.06510099996,56.637983000000006,2.0100166400000004,985620.213708,1776988.0,286447.79223237996
2025-10-08,5028849.666549952,5615.832796000001,100431.88929175044,597210.1813829999,1119010.4034010004,0.6644672499999997,1639200.0469599995,4139009.6564990017,1391762.361464,13615987.053367995,937233.422728866,2910.925532999999,82796767.19245498,30527.982219000005,3326615.5596839995,18.467741000000007,12.824026969999998,3930413.667867998,1060817.0,407101.80033151
2025-10-09,4367924.016427017,7110.766748999999,168248.53073985057,642854.1681570002,919455.7177310002,0.3757447,917610.2222760002,6405318.337207003,3737248.955156001,10280812.536599003,1162207.7797808116,2620.29048,252895762.0843029,17310.615292000006,177506.91189699998,68.857871,1.57901733,3284839.7028040006,3736513.0,430903.79539778
2025-10-10,28956792.23503763,23881.70581299998,298769.99854887073,11797724.502535999,12904003.691818,5.958511929999993,5364081.402996997,34697176.94304297,27616151.879116006,11433703.000264008,5108155.678582672,64541.884459,130651471.82208008,72032.13324800003,4602425.649119001,97.63045299999999,35.83956442,8327090.804611998,6113110.0,3939483.87988756
2025-10-11,11142981.415326599,8114.349361,94948.43818377008,2523726.373976001,5615071.915846007,27.46604087999999,1738330.7070050002,8234619.715124002,16031511.078143006,6591721.899498998,2017682.4090156585,11578.695354000003,308371238.2656191,28092.757329999993,1781443.3490610006,57.27937800000004,206.66905886999996,802697047.3160868,3670394.0,1057651.9709039899
2025-10-12,5050532.143304055,35461.07289299998,286335.22026248067,920643.8480239996,1766270.8612969993,0.7889067600000002,1114354.8751710004,2169778.9773670007,3201121.9546120013,11354163.374569997,1498991.778218175,6072.164406999999,148067257.1349591,15943.862320000002,302317.30592700007,44.913054999999986,8.40405748,15256976.30692301,3250772.0,2361661.0880392212
2025-10-13,5160286.854853047,7091.809583999998,53392.00099872018,677659.0649280001,1369015.9951819994,0.34762028999999955,753929.1246410001,7767499.502003993,2470852.7647769996,1024548.6049629999,940868.3898586925,3070.7566949999987,61277881.99691003,31845.288404999978,224620.07992800002,49.316407,5.622358319999998,8984473.966241002,2516349.0,430626.99080200994
2025-10-14,3858066.7275368883,49164.706771000005,172739.13704449,1326811.4452179996,2930649.0865549985,2.1191107499999977,520520.38833599986,3731033.1790690003,3799487.9218529994,3725025.3022749997,1257453.7965504234,6830.366487999998,129735190.310137,7654.501622999998,405534.44456399983,115.97712600000007,1.6829767800000006,16126868.783742992,3456896.0,824475.34841772
2025-10-15,4581573.681134994,2825.034540999997,16732.47463196002,734173.710066,3163583.6232699966,1.1622597599999998,251405.28888700006,1805939.9661430002,2316226.3433580003,1672086.9499179993,1212095.0553848073,2310.357374,78721021.80571103,27322.428813,293230.17953100003,12.195429999999998,0.74010667,5981132.057607002,597226.0,328413.02987555985
2025-10-16,2054965.0908000104,23614.08838199994,37236.02030205003,1152008.5144769999,2769380.0879039997,2.2063681399999995,2873936.3148630015,3105471.132048,8158942.611095999,6090127.875400999,470365.61931855214,4383.853053999999,45261751.161433,12515.364694999993,614274.573125,67.14578500000003,4.431209509999999,13131290.621775003,2944787.0,697618.6360208
