dt,xalgo,hog,ora,vote,talgo,gobtc,hay,alpha,tiny,pow,opul,golddao,niko,silver,coop,iga,goeth,compx,fam,finite
2025-10-17,6203902.899391075,20521.336997000035,106164.2972065704,1888798.2499160015,3959672.8690480017,2.1438610100000024,3545787.423614999,14493185.907515988,8052053.644833,2553259.3850069996,2402950.3834533473,11434.667157,82640928.6604249,8943.326341000004,687405.742702,42.58441299999996,206.90538554999998,17996460.706818998,1834551.0,919555.4195379899
2025-10-18,1022676.8340120135,10010.430156999997,16425.76763015982,378757.37219,541491.092187,0.21949502000000004,884005.028541,4971274.207234002,1755265.0322909995,2014352.496859,1320392.0154486028,1976.5393109999995,221577413.80109197,13970.493612999977,106133.98336800002,8.474774000000002,1.0523637599999998,6075442.677262994,5494812.0,51590.854082000005
2025-10-19,2258636.884414006,6044.042103000001,65426.52054800015,460298.16090299987,859115.468848,0.18733682999999998,578950.37676,5479293.248995999,5557598.209619999,734898.919634,1814415.1464752005,1772.2859530000003,62271306.716130994,3233.7421680000007,240138.94006800003,14.966294000000001,0.80113111,14724729.999734001,1883362.0,186394.24619084998
2025-10-20,1629892.9413720174,18720.783064999992,211151.77801397044,2847715.8476260006,1339794.0285769997,0.2945729400000001,3534687.999691,4040229.399709001,7388106.692138001,1760813.722818,424972.77302680875,5657.811042,218507478.74206,5704.225680000002,291684.290692,15.820545000000003,0.7525592500000001,13400950.583164997,3921097.0,616192.2964877299
2025-10-21,3172122.409428008,13838.866065000024,140838.54253921003,2175598.1200149995,1809715.7498510005,0.7456164900000001,1160466.02904,66927129.79636204,3397904.685971999,10590562.651976,835091.5433181298,8158.471412,85561362.835443,22325.432692,282162.09829199995,9.899356999999998,2.8617759499999997,16134770.819617003,1406450.0,417616.68785586
2025-10-22,2800978.954127033,3448.3910439999986,18359.97699779965,732079.173951,1844647.8579909995,0.34862695,616855.349129,2883079.1357000005,3683136.2943890006,12893803.16206301,679517.7034941441,2426.865536,33784701.824244,12366.653526000002,131647.15403200002,13.826538,2.692698129999998,7462086.616976998,555720.0,827302.66767565
2025-10-23,2713344.589649981,12552.853295999997,36036.29662746006,404400.27014400007,790774.649358,4.143778279999999,333367.64743300003,5211720.178386,7629921.401336,12668409.460078001,643843.4317787781,1468.9646070000001,66453005.24761401,6387.951236000001,98390.53111499998,19.61492700000001,0.74695657,5566729.085075002,871903.0,1861564.12545779
2025-10-24,2175773.0240920368,47230.439626999985,92239.94752460066,583768.751116,1989976.649852,1.2045533,6954321.411014003,2703246.362469001,9853701.947131,11695468.143070998,361293.0911767064,1068.060858,40127027.542872995,7496.860876999999,1933479.4929449998,42.27858800000002,1.3894730400000002,6673145.912619998,2973927.0,810779.5341592806
2025-10-25,1835818.5225350035,14022.844296999998,56909.00693664998,331850.19465300004,700111.9519049998,0.24533115000000005,2369443.371302999,1967787.5041900002,2889944.9552959995,1865216.0377959996,1393219.2300341807,497.63251599999995,26626012.257038,2912.096482,578389.0433489999,14.228988999999997,1.0720028499999998,4497901.5090230005,806724.0,524639.74621326
2025-10-26,1969335.9252719993,59232.789484999805,109721.31742067034,618429.154374,930022.881861,0.16460883000000015,2386085.003122002,5400756.1341069965,3088583.6709850007,2473277.3279770007,2401507.9174359404,1623.926705,21002957.271604,2752.516901,172136.22999400002,15.707519000000005,1.9246548599999989,3863733.218661002,721943.0,402916.73342887015
2025-10-27,2382361.513961001,46800.94549999997,39938.38948758996,872069.5827530009,1580584.945177,1.2683599700000001,2089648.3953920011,4842161.348945998,3543711.178124,4236614.763638001,590548.0310630765,2346.389522,71548408.830224,2785.9068669999997,674309.2571150003,28.063955,3.877852870000001,6231398.125065001,1052168.0,652397.3936335591
2025-10-28,3321745.3591980105,7599.338128999992,63103.09748780029,756543.8417139996,1208981.6346870004,0.5233647400000001,1069300.1299240005,6466284.473357999,2860095.76544,4665552.705854998,889116.4210315967,4592.8071979999995,21670937.790805005,1824.8873979999994,189182.85052500002,18.738520000000005,3.3296674200000003,4516675.435894999,1435349.0,400712.54434495984
2025-10-29,2704666.050792005,8029.081262,56432.34416869008,803319.1452920003,907235.6456269998,0.7443621199999999,825172.3295060003,2714657.1352329995,3904312.323946,1785542.7650900001,1917809.6103835376,2277.792838,71707806.434064,8345.615126000004,1157354.7604590002,10.455027000000005,22.40228018999999,1288592.000692,677932.0,274021.40635075
2025-10-30,5183728.125403999,3944.613868999997,51121.50382559,1176469.3792109995,4315957.503761987,0.9858251699999996,4599075.214657,3618188.4320969977,5838475.139373001,80902723.67764804,1624656.21449369,5193.438874999999,95157726.35342804,7763.7139019999995,492312.47445300006,23.336194,1.922846750000001,4653090.158828,682564.0,408894.69384445
2025-10-31,10210510.410600998,14082.464781999988,40821.06272677004,615313.3944110002,1019433.378799,0.22781558,6174182.33380699,1928070.345881,3863233.4299509986,4144996.843633,986295.471852853,1606.2014369999997,222154617.93267307,3063.3260609999998,95003.31001099998,13.438399000000004,0.34735565,962050.7023100003,1361368.0,393247.97639149
