date,usdc,usdt,eurs,xusd,algo_vol,price,usd_vol
2025-08-01,79482562.90725748,15156.085366166097,4760.081390338402,437911.3139807627,79940390.38799474,0.2442946233566644,19529007.56081989
2025-08-02,102015972.4787838,31424.56427272959,8380.568286874199,93455.39793609496,102149233.0092795,0.2363439096719715,24142349.099406324
2025-08-03,26802799.587809708,7233.839566748998,3125.2478615567,321938.5062974912,27135097.181535505,0.2278411201847095,6182490.938162003
2025-08-04,454141335.1061335,22311.219175270202,7284.583709537901,145451.30807111686,454316382.2170895,0.2433907821429585,110576419.6081767
2025-08-05,57012782.38460337,9418.842753291,4607.354543456501,199105.5140571781,57225914.0959573,0.2481939745531483,14203127.066912677
2025-08-06,51182796.76103868,14304.892440549605,3926.2903434576033,100289.45187477094,51301317.39569746,0.2374696295136998,12182504.835520998
2025-08-07,71364708.2834245,17161.890845584196,2811.9759728788003,218644.92054705677,71603327.07079001,0.2428014941324297,17385394.797640864
2025-08-08,76813636.62148908,4742.754965506,2190.7557098735997,265729.83133030654,77086299.96349475,0.2638613820957359,20340097.6490142
2025-08-09,16614784.721198402,12688.6119816,10339.773972204,108447.86414996335,16746260.97130217,0.2656678243342842,4448942.717979984
2025-08-10,26072735.12196414,5278.356092154601,3254.5696382915,61528.517802748,26142796.56549734,0.2706058346761191,7074393.285374387
2025-08-11,242958600.3994294,19191.484210353607,7426.637872799203,122676.73060584473,243107895.25211838,0.2657242229827365,64599656.56683765
2025-08-12,38720781.42541045,7947.051858182401,2198.4361793468006,233885.53723909636,38964812.45068707,0.2535490501388352,9879491.185709568
2025-08-13,489770221.3689967,10214.490804831603,1419.1711951408001,239215.09406927417,490021070.125066,0.2712505512614959,132918485.40117228
2025-08-14,145948536.9010193,30951.773042733188,6448.876034151402,200587.19170144634,146186524.74179763,0.2806600976118967,41028724.30357687
2025-08-15,76176450.05102798,36513.41535313197,2119.5276499379,136048.7951359455,76351131.789167,0.2540443320150628,19396572.27397296
2025-08-16,153122056.15237778,1964.9220668445,3505.9863352063994,28202.483924291988,153155729.54470414,0.2532906895880539,38792920.35073959
2025-08-17,16232053.904097281,4752.658845855901,2475.8202152662006,96572.76075248452,16335855.143910889,0.2607790440003408,4260048.687357131
2025-08-18,146442178.8559911,54628.340846482846,2283.2309268575013,64189.9110835268,146563280.33884797,0.2662955795962938,39029153.68536761
2025-08-19,73055725.64173712,42486.943718339964,10252.514101637993,164346.99702565666,73272812.09658276,0.2551150178863038,18692994.768599488
2025-08-20,65457285.6501026,9498.026185208408,1842.2303420743997,77593.39847540959,65546219.30510529,0.2380692715034172,15604540.679769637
2025-08-21,259189308.66878244,1870.5908697475993,2118.5612501119986,190478.01599766008,259383775.83689997,0.256734562777644,66592780.281100936
2025-08-22,150676991.71212235,15559.647831851686,5427.085272268797,54937.23921976287,150752915.68444625,0.2480702537293952,37397314.0442867
2025-08-23,20074242.91949931,18289.00747820372,3711.7824142692007,79551.39876012839,20175795.108151913,0.2665170760377272,5377193.918960927
2025-08-24,32667977.835038237,11254.176991571401,4583.472086059202,185128.22970605874,32868943.71382193,0.2638525707033134,8672555.29519443
2025-08-25,56512778.54808182,23816.376594684003,28745.04756148482,226437.47016199646,56791777.442399986,0.2717527134769269,15433319.623149926
2025-08-26,131407133.42441273,12499.234507636402,3148.0311231036,382792.81838880107,131805573.50843227,0.246141212527989,32442783.681312505
2025-08-27,66564598.81931387,3776.4085798803,2690.4881831723997,133003.93094400008,66704069.64702092,0.2549119799925363,17003666.467282142
2025-08-28,77473489.20866616,1953.5566803983997,3039.6113936099996,186924.24596904538,77665406.62270921,0.2474247337208837,19216342.552947983
2025-08-29,90974871.35863064,164049.8738704795,10089.772412486402,90599.78640243996,91239610.79131605,0.2526514654585948,23051821.37429782
2025-08-30,64961484.946498536,51687.24918373167,11621.760662694005,77326.72956161118,65102120.685906574,0.236824469628077,15417775.203102885
2025-08-31,28116443.18803424,22844.1307791168,8618.543649049598,48378.09019320683,28196283.952655617,0.2330993337585824,6572535.003831833
