dt,usdc,usdt,eurs,xusd
2025-10-01,8252459.186624029,4946.857703999999,3242.004744000002,15815.268146999999
2025-10-02,13763445.428849876,8070.693729000002,1194.4559669999994,21747.17999499999
2025-10-03,10061800.368841987,21089.949017000003,944.8723700000007,24962.044761
2025-10-04,6379574.359047034,8014.362019999998,527.0472710000001,6853.056955
2025-10-05,5785413.594754006,8691.470973999996,653.1793200000001,16245.832803
2025-10-06,47797875.97891012,1521.5627209999996,1690.5631649999993,32678.719135000007
2025-10-07,15092456.850537121,1798.8519800000001,584.2214990000001,52788.43773399997
2025-10-08,8012754.043180898,3175.850511,1217.9825219999993,23545.178811
2025-10-09,17823967.9582578,8257.370633999999,677.70505,26622.268211000002
2025-10-10,48455224.225959666,66905.44653199997,15959.596884999983,233830.9595710001
2025-10-11,24467119.755879022,48610.03156899991,2931.0860270000003,61630.61290200003
2025-10-12,17477773.229535744,12788.489125000002,1451.5353429999998,50661.04916699995
2025-10-13,20599192.485262237,4933.185568000003,1046.0386099999996,36420.536224999996
2025-10-14,30479315.28509432,3956.1872749999998,1132.813369,81440.15735999995
2025-10-15,23635935.51052806,1655.9769950000004,441.5783590000001,29819.14663900001
2025-10-16,26128138.97480744,50833.195984,828.2952940000001,59563.83772599999
2025-10-17,31473473.847212758,8324.818708999996,4200.213109,72542.47267899997
2025-10-18,14082251.804904934,4330.208766000001,1081.781384000001,20176.830917000003
2025-10-19,15675090.58444612,2175.953012,652.6089349999999,31644.166961000054
2025-10-20,10434957.614110677,6765.663233999997,701.9456260000001,32216.88221399999
2025-10-21,17997585.24569507,8909.857423999998,968.4193890000003,34939.860108999994
2025-10-22,21643612.7163776,1878.1343249999995,522.0663209999999,49655.88860300002
2025-10-23,11546847.868165927,1443.6394599999999,274.17792499999996,27205.953668000002
2025-10-24,9405153.87432596,6619.081830999999,470.33303400000034,221700.00378799994
2025-10-25,4956060.799831022,5853.230534000001,267.652697,28885.465374
2025-10-26,9949912.745635966,2884.9187079999997,460.434635,17557.177967000003
2025-10-27,26653934.17906208,4267.350505000001,537.081224,101282.52750500002
2025-10-28,19585375.860033687,2053.7583130000003,746.881168,46602.33340900002
2025-10-29,13254455.69303091,1679.966258,458.87687600000004,22543.96320500001
2025-10-30,35893748.08703317,2918.5490219999997,842.8482479999999,58299.791053000015
2025-10-31,13488537.557160998,2098.946263,630.5819099999999,22200.666098999995
