dt,usdc,usdt,eurs
2026-02-01,22755367.84457012,1127.6752009999998,1394.405771
2026-02-02,9766511.416291177,4004.8800050000004,12068.06464700001
2026-02-03,8226673.348333063,10182.017179000011,1532.1832159999997
2026-02-04,8951994.518702162,1302.9128779999999,3512.3325820000036
2026-02-05,16244836.378260663,3614.258877999996,3117.042589000002
2026-02-06,27957792.34997769,4350.433744000001,27615.30103500004
2026-02-07,7072014.434892728,1600.185489000001,300.94933400000014
2026-02-08,9154366.945931027,1435.172149000001,171.39769099999998
2026-02-09,14493043.334138159,666.1801749999997,539.5537800000002
2026-02-10,6402998.418462982,726.8735800000002,477.38834299999996
2026-02-11,19090074.240262255,8484.051616999994,1668.3007009999994
2026-02-12,11901008.856372744,619.2653249999998,281.399983
2026-02-13,9132095.874344155,2903.487160999998,232.67015099999998
2026-02-14,4394152.137288962,1469.9698939999994,232.71251600000005
2026-02-15,4330816.876231895,988.6166849999997,169.744365
2026-02-16,2629330.032740923,330.52335299999993,90.14351100000006
2026-02-17,8929224.375316165,133386.93473299872,798.9976919999999
2026-02-18,5380588.661814984,1495.0511180000008,1786.5091409999993
2026-02-19,7514375.396937053,460.1133460000001,2924.94425
2026-02-20,7336394.063652858,411.2849529999999,819.518782
2026-02-21,5678562.021181538,164.58723700000002,52.666516000000016
2026-02-22,4703562.792957252,3158.4124969999993,117.72936899999996
2026-02-23,9280860.528955843,819.0529199999999,458.61077600000016
2026-02-24,22415326.526932944,164.711395,65.679684
2026-02-25,12876764.56207318,1506.0242229999985,482.64720400000033
2026-02-26,16201023.849630136,1002.2221599999995,2144.69472
2026-02-27,8730366.032764727,709.3630209999999,185.70654100000002
2026-02-28,12652358.034511752,1226.1670849999994,339.6083189999997
